Start Date,Start Time,End Date,End Time,County,State,Number of Customers Affected
2021-01-10,22:44:00,2021-01-13,16:00:00,Anderson,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Angelina,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Dallas,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Freestone,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Henderson,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Houston,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Leon,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Nacogdoches,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Smith,Texas,188000
2021-01-10,22:44:00,2021-01-13,16:00:00,Tarrant,Texas,188000
2021-01-11,05:00:00,2021-01-11,14:22:00,None,Louisiana,58000
2021-01-11,05:00:00,2021-01-11,14:22:00,None,Texas,58000
2021-01-12,23:50:00,2021-01-15,13:00:00,Kitsap,Washington,320000
2021-01-12,23:50:00,2021-01-15,13:00:00,Thurston,Washington,320000
2021-01-12,23:50:00,2021-01-15,13:00:00,King,Washington,320000
2021-01-12,23:50:00,2021-01-15,13:00:00,Pierce,Washington,320000
2021-01-12,23:50:00,2021-01-15,13:00:00,Skagit,Washington,320000
2021-01-12,23:50:00,2021-01-15,13:00:00,Whatcom,Washington,320000
2021-01-12,20:46:00,2021-01-13,16:00:00,Clackamas,Oregon,94231
2021-01-12,20:46:00,2021-01-13,16:00:00,Multnomah,Oregon,94231
2021-01-12,20:46:00,2021-01-13,16:00:00,Washington,Oregon,94231
2021-01-12,23:49:00,2021-01-14,14:00:00,None,Washington,70000
2021-01-13,03:43:00,2021-01-13,16:00:00,None,Washington,70417
2021-01-13,03:43:00,2021-01-13,16:00:00,None,Idaho,70417
2021-01-19,09:31:00,2021-01-21,14:36:00,Kern,California,173746
2021-01-19,09:31:00,2021-01-21,14:36:00,Los Angeles,California,173746
2021-01-19,09:31:00,2021-01-21,14:36:00,Riverside,California,173746
2021-01-19,09:31:00,2021-01-21,14:36:00,San Bernardino,California,173746
2021-01-19,09:31:00,2021-01-21,14:36:00,Ventura,California,173746
2021-01-19,09:31:00,2021-01-21,14:36:00,Orange,California,173746
2021-01-19,02:48:00,2021-01-20,11:41:00,None,California,124888
2021-01-26,20:49:00,2021-01-28,21:14:00,None,California,255715
2021-02-02,12:34:00,2021-02-02,15:43:00,Hughes,South Dakota,4
2021-02-02,09:25:00,2021-02-03,11:38:00,Hughes,South Dakota,3
2021-02-10,15:00:00,2021-02-23,15:00:00,None,Texas,2000000
2021-02-12,21:00:00,2021-02-20,17:15:00,Clackamas,Oregon,300187
2021-02-12,21:00:00,2021-02-20,17:15:00,Marion,Oregon,300187
2021-02-12,21:00:00,2021-02-20,17:15:00,Polk,Oregon,300187
2021-02-12,21:00:00,2021-02-20,17:15:00,Multnomah,Oregon,300187
2021-02-12,21:00:00,2021-02-20,17:15:00,Washington,Oregon,300187
2021-02-12,21:00:00,2021-02-20,17:15:00,Yamhill,Oregon,300187
2021-02-13,09:56:00,2021-02-13,11:01:00,Lewis,Washington,37583
2021-02-13,13:30:00,2021-02-20,08:00:00,None,Texas,Unknown
2021-02-13,13:30:00,2021-02-19,21:00:00,None,West Virginia,55097
2021-02-13,13:30:00,2021-02-19,21:00:00,None,Virginia,55097
2021-02-13,08:32:00,2021-02-14,15:00:00,None,South Carolina,129000
2021-02-13,08:32:00,2021-02-14,15:00:00,None,North Carolina,129000
2021-02-14,08:30:00,2021-02-19,18:00:00,None,Texas,Unknown
2021-02-14,08:30:00,2021-02-19,18:00:00,None,Texas,Unknown
2021-02-14,05:30:00,2021-02-18,10:00:00,None,Oklahoma,Unknown
2021-02-14,20:21:00,2021-02-18,09:30:00,None,Arkansas,125484
2021-02-14,20:21:00,2021-02-18,09:30:00,None,Louisiana,125484
2021-02-14,20:21:00,2021-02-18,09:30:00,None,Texas,125484
2021-02-14,20:21:00,2021-02-18,09:30:00,None,Oklahoma,125484
2021-02-14,20:00:00,2021-02-18,09:28:00,None,North Dakota,Unknown
2021-02-14,20:00:00,2021-02-18,09:28:00,None,South Dakota,Unknown
2021-02-14,20:00:00,2021-02-18,09:28:00,None,Nebraska,Unknown
2021-02-14,20:00:00,2021-02-18,09:28:00,None,Kansas,Unknown
2021-02-14,20:00:00,2021-02-18,09:28:00,None,Oklahoma,Unknown
2021-02-14,20:00:00,2021-02-18,09:28:00,None,Texas,Unknown
2021-02-14,18:00:00,2021-02-16,22:00:00,Jasper,Missouri,0
2021-02-15,01:20:00,2021-02-18,00:42:00,Hidalgo,Texas,Unknown
2021-02-15,01:20:00,2021-02-18,00:42:00,Cameron,Texas,Unknown
2021-02-15,01:20:00,2021-02-18,00:02:00,Harris,Texas,1390000
2021-02-15,13:00:00,2021-02-20,10:00:00,None,Texas,175000
2021-02-15,01:54:00,2021-02-17,23:56:00,None,Texas,Unknown
2021-02-15,01:20:00,2021-02-19,09:00:00,None,Texas,Unknown
2021-02-15,15:00:00,2021-02-19,10:00:00,None,Louisiana,Unknown
2021-02-15,02:51:00,2021-02-19,09:00:00,Travis,Texas,219306
2021-02-15,01:54:00,2021-02-19,09:00:00,Travis,Texas,Unknown
2021-02-15,05:27:00,2021-02-18,08:18:00,None,Texas,Unknown
2021-02-15,01:23:00,2021-02-19,05:30:00,None,Texas,Unknown
2021-02-15,08:50:00,2021-02-18,09:30:00,None,Kansas,Unknown
2021-02-15,10:24:00,2021-02-18,09:52:00,Lubbock,Texas,29942
2021-02-15,18:00:00,2021-02-15,23:55:00,None,Texas,Unknown
2021-02-15,05:40:00,2021-02-16,13:11:00,None,Texas,Unknown
2021-02-15,05:00:00,2021-02-17,16:00:00,Pulaski,Arkansas,Unknown
2021-02-15,17:00:00,2021-02-15,22:59:00,None,Mississippi,Unknown
2021-02-15,07:52:00,2021-02-17,14:15:00,Austin,Texas,25000
2021-02-15,07:52:00,2021-02-17,14:15:00,Bastrop,Texas,25000
2021-02-15,07:52:00,2021-02-17,14:15:00,Burleson,Texas,25000
2021-02-15,07:52:00,2021-02-17,14:15:00,Caldwell,Texas,25000
2021-02-15,07:52:00,2021-02-17,14:15:00,Colorado,Texas,25000
