Start Date,Start Time,End Date,End Time,County,State,Number of Customers Affected
2017-01-08,09:07:00,2017-01-13,14:30:00,None,California,106000
2017-01-10,19:30:00,2017-01-13,14:30:00,None,California,87000
2017-01-15,09:27:00,2017-01-17,01:58:00,Harper,Oklahoma,788
2017-01-18,18:05:00,2017-01-19,00:05:00,None,California,75000
2017-01-22,04:15:00,2017-01-24,14:00:00,None,California,64000
2017-01-22,16:00:00,2017-01-23,03:26:00,None,Alabama,29965
2017-01-22,16:00:00,2017-01-23,03:26:00,None,Georgia,29965
2017-01-22,16:00:00,2017-01-23,03:26:00,None,Mississippi,29965
2017-01-22,16:00:00,2017-01-23,03:26:00,None,Florida,29965
2017-02-06,01:00:00,2017-02-06,19:30:00,Skagit,Washington,103000
2017-02-06,01:00:00,2017-02-06,19:30:00,King,Washington,103000
2017-02-06,01:00:00,2017-02-06,19:30:00,Kitsap,Washington,103000
2017-02-09,16:05:00,2017-02-10,05:15:00,None,Connecticut,11525
2017-02-09,16:05:00,2017-02-10,05:15:00,None,Massachusetts,11525
2017-02-09,16:05:00,2017-02-10,05:15:00,None,Rhode Island,11525
2017-02-17,15:00:00,2017-02-20,11:00:00,Los Angeles,California,111591
2017-02-17,08:09:00,2017-02-22,19:30:00,None,California,169250
2017-03-01,11:49:00,2017-03-02,21:30:00,None,Kentucky,98575
2017-03-01,11:49:00,2017-03-02,21:30:00,None,West Virginia,98575
2017-03-01,08:30:00,2017-03-01,14:00:00,None,Tennessee,58000
2017-03-01,08:30:00,2017-03-01,14:00:00,None,Kentucky,58000
2017-03-02,12:20:00,2017-03-02,23:45:00,None,Connecticut,54316
2017-03-02,12:20:00,2017-03-02,23:45:00,None,Maine,54316
2017-03-02,12:20:00,2017-03-02,23:45:00,None,Massachusetts,54316
2017-03-02,12:20:00,2017-03-02,23:45:00,None,New Hampshire,54316
2017-03-02,12:20:00,2017-03-02,23:45:00,None,Rhode Island,54316
2017-03-02,12:20:00,2017-03-02,23:45:00,None,Vermont,54316
2017-03-06,20:00:00,2017-03-07,01:00:00,Jackson,Missouri,97734
2017-03-06,20:00:00,2017-03-07,01:00:00,Platte,Missouri,97734
2017-03-06,20:00:00,2017-03-07,01:00:00,Cass,Missouri,97734
2017-03-06,20:00:00,2017-03-07,01:00:00,Lafayette,Missouri,97734
2017-03-06,20:00:00,2017-03-07,01:00:00,Chariton,Missouri,97734
2017-03-06,20:00:00,2017-03-07,01:00:00,Carroll,Missouri,97734
2017-03-06,20:00:00,2017-03-07,01:00:00,Clay,Missouri,97734
2017-03-06,20:00:00,2017-03-07,01:00:00,Johnson,Missouri,97734
2017-03-08,11:30:00,2017-03-08,19:52:00,None,Ohio,71012
2017-03-08,12:00:00,2017-03-11,11:31:00,None,Michigan,800000
2017-03-08,09:30:00,2017-03-11,05:00:00,Jackson,Michigan,343000
2017-03-08,09:30:00,2017-03-11,05:00:00,Calhoun,Michigan,343000
2017-03-08,09:30:00,2017-03-11,05:00:00,Ingham,Michigan,343000
2017-03-08,09:30:00,2017-03-11,05:00:00,Hillsdale,Michigan,343000
2017-03-08,09:30:00,2017-03-11,05:00:00,Washtenaw,Michigan,343000
2017-03-08,09:30:00,2017-03-11,05:00:00,Kent,Michigan,343000
2017-03-08,09:30:00,2017-03-11,05:00:00,Ottawa,Michigan,343000
2017-03-08,09:30:00,2017-03-11,05:00:00,Midland,Michigan,343000
2017-03-08,09:30:00,2017-03-11,05:00:00,Saginaw,Michigan,343000
2017-03-08,13:30:00,2017-03-08,16:30:00,None,New York,106869
2017-03-21,20:00:00,2017-03-22,09:15:00,None,Georgia,257000
2017-03-29,03:30:00,2017-03-31,06:00:00,None,Texas,175000
2017-04-03,11:00:00,2017-04-03,20:00:00,None,Alabama,86330
2017-04-03,11:00:00,2017-04-03,20:00:00,None,Georgia,86330
2017-04-07,08:15:00,2017-04-08,00:14:00,Multnomah,Oregon,153867
2017-04-07,08:15:00,2017-04-08,00:14:00,Washington,Oregon,153867
2017-04-07,08:15:00,2017-04-08,00:14:00,Marion,Oregon,153867
2017-04-07,08:15:00,2017-04-08,00:14:00,Clackamas,Oregon,153867
2017-04-07,04:33:00,2017-04-07,08:20:00,None,Oregon,64852
2017-04-24,05:32:00,2017-04-24,06:33:00,Mecklenburg,North Carolina,74698
2017-04-30,01:00:00,2017-04-30,17:45:00,None,Arkansas,145174
2017-04-30,01:00:00,2017-04-30,17:45:00,None,Louisiana,145174
2017-04-30,01:00:00,2017-04-30,17:45:00,None,Mississippi,145174
2017-05-01,23:14:00,2017-05-01,23:34:00,None,Ohio,92390
2017-05-04,05:00:00,2017-05-04,22:00:00,None,Alabama,60377
2017-05-04,05:00:00,2017-05-04,22:00:00,None,Georgia,60377
2017-05-28,19:30:00,2017-05-29,22:00:00,None,Louisiana,103000
2017-05-28,19:30:00,2017-05-29,22:00:00,None,Texas,103000
