"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00026409","2017-01-01","0.9","0.0",,,,"-11.6","-17.1"
"USW00026409","2017-01-02","0.9","0.0",,,,"-11.0","-18.2"
"USW00026409","2017-01-03","0.5","0.0",,,,"-11.0","-18.8"
"USW00026409","2017-01-04","0.7","0.0",,,,"-10.5","-17.1"
"USW00026409","2017-01-05","1.3","0.0",,,,"-3.8","-18.8"
"USW00026409","2017-01-06","2.6","0.0",,,,"-7.1","-21.0"
"USW00026409","2017-01-07","0.9","0.0",,,,"-11.0","-21.6"
"USW00026409","2017-01-08","0.8","0.0",,,,"-12.1","-21.0"
"USW00026409","2017-01-09","0.6","0.0",,,,"-8.8","-19.9"
"USW00026409","2017-01-10","0.2","0.0",,,,"-11.6","-19.3"
"USW00026409","2017-01-11","0.8","0.0",,,,"-10.5","-19.9"
"USW00026409","2017-01-12","1.3","0.0",,,,"-13.8","-20.5"
"USW00026409","2017-01-13","1.5","0.8",,,,"-6.6","-21.0"
"USW00026409","2017-01-14","3.0","0.8",,,,"-2.7","-10.5"
"USW00026409","2017-01-15","2.2","0.0",,,,"-9.9","-16.0"
"USW00026409","2017-01-16","2.1","0.5",,,,"-8.2","-12.1"
"USW00026409","2017-01-17","2.5","0.0",,,,"-11.0","-19.9"
"USW00026409","2017-01-18","0.9","0.0",,,,"-18.8","-27.7"
"USW00026409","2017-01-19","1.3","0.0",,,,"-20.5","-29.3"
"USW00026409","2017-01-20","1.6","0.0",,,,"-12.1","-23.2"
"USW00026409","2017-01-21","1.1","2.8",,,,"-9.9","-12.7"
"USW00026409","2017-01-22","0.8","0.0",,,,"-9.9","-22.7"
"USW00026409","2017-01-23","2.1","0.0",,,,"-6.6","-22.1"
"USW00026409","2017-01-24","0.9","0.0",,,,"-4.3","-8.2"
"USW00026409","2017-01-25","1.0","0.0",,,,"-1.0","-8.2"
"USW00026409","2017-01-26","2.8","0.0",,,,"6.7","-2.7"
"USW00026409","2017-01-27","1.3","0.0",,,,"0.6","-5.5"
"USW00026409","2017-01-28","2.7","0.8",,,,"-0.5","-4.3"
"USW00026409","2017-01-29","1.3","0.0",,,,"-3.8","-14.9"
"USW00026409","2017-01-30","1.7","0.0",,,,"4.4","-13.2"
"USW00026409","2017-01-31","2.2","0.0",,,,"4.4","-2.7"
"USW00026409","2017-02-01","0.9","0.0",,,,"-0.5","-13.2"
"USW00026409","2017-02-02","0.4",,,,,"-6.0","-16.6"
"USW00026409","2017-02-03","0.5","0.0",,,,"-6.0","-14.3"
"USW00026409","2017-02-04","0.4","0.0",,,,"-5.5","-16.6"
"USW00026409","2017-02-05","0.1","0.0",,,,"-7.1","-17.1"
"USW00026409","2017-02-06","0.5","0.0",,,,"-6.6","-17.7"
"USW00026409","2017-02-07","0.3","0.0",,,,"-7.1","-19.3"
"USW00026409","2017-02-08","1.3","0.0",,,,"-7.7","-18.2"
"USW00026409","2017-02-09","1.2","0.0",,,,"-7.1","-9.9"
"USW00026409","2017-02-10","2.0","0.0",,,,"-9.9","-14.9"
"USW00026409","2017-02-11","1.0","0.0",,,,"-11.6","-22.7"
"USW00026409","2017-02-12","2.3","0.0",,,,"-8.2","-24.3"
"USW00026409","2017-02-13","1.2","0.0",,,,"-1.0","-8.2"
"USW00026409","2017-02-14","1.5","0.0",,,,"6.7","-3.2"
"USW00026409","2017-02-15","2.3","2.3",,,,"1.1","-5.5"
"USW00026409","2017-02-16","1.6","0.0",,,,"-1.6","-7.7"
"USW00026409","2017-02-17","0.6","0.0",,,,"-1.0","-8.2"
"USW00026409","2017-02-18","0.6","0.0",,,,"-1.0","-6.6"
"USW00026409","2017-02-19","1.7","1.3",,,,"-2.7","-7.1"
"USW00026409","2017-02-20","1.2","0.0",,,,"-7.1","-17.1"
"USW00026409","2017-02-21","1.7","0.0",,,,"-9.9","-23.2"
"USW00026409","2017-02-22","2.1","0.0",,,,"-6.6","-11.0"
"USW00026409","2017-02-23","1.2","0.0",,,,"-4.3","-8.8"
"USW00026409","2017-02-24","1.4","0.0",,,,"-0.5","-6.6"
"USW00026409","2017-02-25","0.6","0.0",,,,"-2.1","-6.0"
"USW00026409","2017-02-26","1.1","0.0",,,,"-1.6","-6.0"
"USW00026409","2017-02-27","1.9","0.0",,,,"-4.3","-10.5"
"USW00026409","2017-02-28","4.7","0.0",,,,"-4.3","-16.6"
"USW00026409","2017-03-01","3.3","0.0",,,,"-7.7","-21.0"
"USW00026409","2017-03-02","4.3","0.0",,,,"-3.8","-22.7"
"USW00026409","2017-03-03","4.8","0.0",,,,"-3.8","-14.3"
"USW00026409","2017-03-04","1.0","0.0",,,,"-7.1","-21.6"
"USW00026409","2017-03-05","3.2","0.0",,,,"-5.5","-21.6"
"USW00026409","2017-03-06","1.4","0.0",,,,"-8.8","-21.6"
"USW00026409","2017-03-07","1.7","0.0",,,,"-6.6","-24.9"
"USW00026409","2017-03-08","7.7","0.0",,,,"-3.2","-11.0"
"USW00026409","2017-03-09","2.1","0.0",,,,"-2.1","-18.8"
"USW00026409","2017-03-10","0.8","0.0",,,,"-3.2","-18.8"
"USW00026409","2017-03-11","0.9","0.0",,,,"-1.0","-15.5"
"USW00026409","2017-03-12","3.6","0.0",,,,"-0.5","-17.1"
"USW00026409","2017-03-13","6.1","0.0",,,,"-0.5","-7.7"
"USW00026409","2017-03-14","5.8","0.0",,,,"-4.9","-12.1"
"USW00026409","2017-03-15","3.3","0.0",,,,"-5.5","-21.0"
"USW00026409","2017-03-16","2.3","0.0",,,,"-4.3","-17.7"
"USW00026409","2017-03-17","1.7","0.0",,,,"-5.5","-19.3"
"USW00026409","2017-03-18","1.4","0.0",,,,"-5.5","-21.6"
"USW00026409","2017-03-19","2.5","0.0",,,,"-1.6","-11.6"
"USW00026409","2017-03-20","1.2","0.0",,,,"0.0","-13.8"
"USW00026409","2017-03-21","1.3","0.0",,,,"-0.5","-14.3"
"USW00026409","2017-03-22","0.6","0.0",,,,"-0.5","-16.0"
"USW00026409","2017-03-23","0.6","0.0",,,,"-0.5","-15.5"
"USW00026409","2017-03-24","0.8","0.0",,,,"-1.0","-15.5"
