Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,2.7142857142857144,0.0,0.0,21.666666666666668,7.4375,-7.3500000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,3.8000000000000003,0.0,0.0,21.666666666666668,10.0625,-7.475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,2.5714285714285716,0.0625,1.3333333333333333,21.666666666666668,0.7500000000000001,-10.887500000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,3.685714285714286,0.3125,6.833333333333333,16.666666666666668,0.875,-12.5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,3.5142857142857147,5.8125,110.0,56.166666666666664,-7.4875,-14.825000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,2.7142857142857144,2.15,25.833333333333332,122.83333333333333,-8.6625,-23.725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,2.557142857142857,0.0,0.0,105.33333333333333,-4.9125,-23.0375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,2.3000000000000003,0.1875,3.3333333333333335,97.0,3.2875,-15.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,7.414285714285714,1.1125,2.5,73.5,13.55,-5.475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,5.928571428571429,0.0,0.0,30.0,11.45,-1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,8.114285714285714,0.1625,0.0,21.666666666666668,12.9875,-1.3624999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,4.314285714285714,0.1,0.0,16.666666666666668,8.6125,-6.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,1.5714285714285714,0.0375,0.0,13.333333333333334,2.525,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,2.157142857142857,0.0,0.0,13.333333333333334,5.7749999999999995,-4.1625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,1.5,2.1,11.5,16.666666666666668,2.7875,-3.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,4.085714285714286,4.4625,38.833333333333336,34.166666666666664,2.025,-2.0875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,2.1714285714285713,0.5125,12.166666666666666,41.833333333333336,4.3,-7.425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18,2.6999999999999997,0.0,0.0,35.166666666666664,7.025,-6.225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19,3.1571428571428575,0.4125,9.166666666666666,20.833333333333332,8.05,-6.2375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-20,3.1714285714285713,0.2875,2.1666666666666665,26.666666666666668,5.625,-3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-21,2.757142857142857,0.35,6.333333333333333,21.666666666666668,3.9625,-6.1625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-22,3.7142857142857144,0.0,0.0,16.666666666666668,5.975,-6.575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-23,5.442857142857143,0.0625,0.8333333333333334,16.666666666666668,10.2,-4.9125000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-24,4.257142857142857,0.725,12.0,13.333333333333334,4.7875,-5.3999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-25,2.4,0.0375,3.5,26.666666666666668,-1.0625,-10.1875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-26,2.414285714285714,0.2,12.833333333333334,31.666666666666668,-1.8750000000000002,-13.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-27,3.2285714285714286,0.0,0.0,21.666666666666668,1.1,-14.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-28,3.1714285714285713,0.0,0.0,21.666666666666668,6.8,-12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-29,3.5142857142857147,0.0,0.0,21.666666666666668,11.8,-7.262499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-30,3.6,0.0,0.0,16.666666666666668,13.425,-5.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,3.957142857142857,0.0,0.0,13.333333333333334,14.65,-3.1375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,3.2285714285714286,0.0,0.0,13.333333333333334,7.2875000000000005,-6.9125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02,3.257142857142857,0.1375,1.3333333333333333,13.333333333333334,0.45000000000000007,-8.0875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-03,2.7714285714285714,0.0375,0.0,13.333333333333334,1.825,-9.575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-04,4.928571428571429,0.0375,0.5,13.333333333333334,14.1125,-5.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-05,3.1142857142857143,0.0,0.0,8.333333333333334,14.65,-4.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-06,5.242857142857143,0.0,0.0,8.333333333333334,15.425,-1.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-07,4.114285714285715,0.0,0.0,8.333333333333334,15.7875,-1.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-08,5.571428571428571,0.0,0.0,5.0,15.5625,-0.2250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09,3.9285714285714284,0.0,0.0,5.0,19.25,-1.1250000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-10,5.085714285714286,0.0,0.0,5.0,23.75,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-11,4.757142857142857,0.7,0.0,0.0,19.712500000000002,2.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-12,3.2571428571428567,0.0625,1.3333333333333333,0.0,9.1625,-0.16250000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-13,3.5142857142857147,1.5875,8.833333333333334,5.0,7.4375,-1.075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-14,3.8857142857142857,0.0,0.0,8.333333333333334,8.95,-4.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
