Date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2017-01-01,3.22,0.12,0.0,0.0,5.2,7.760000000000001,-2.9
2017-01-02,2.68,0.9800000000000001,0.0,0.0,-0.04999999999999993,2.56,-3.5799999999999996
2017-01-03,4.68,15.8,0.0,0.0,3.55,5.76,2.12
2017-01-04,3.9,0.36,0.0,0.0,6.050000000000001,9.98,1.0
2017-01-05,3.9200000000000004,0.0,0.0,0.0,0.10000000000000003,1.32,-3.14
2017-01-06,2.92,0.6599999999999999,22.5,30.0,-1.6,0.13999999999999999,-5.58
2017-01-07,5.220000000000001,2.94,114.5,39.5,-5.45,-5.24,-7.0
2017-01-08,4.5200000000000005,0.0,2.5,104.5,-7.3500000000000005,-4.680000000000001,-11.0
2017-01-09,2.6399999999999997,0.0,0.0,89.5,-9.05,-5.0200000000000005,-14.680000000000001
2017-01-10,1.6,0.06,0.0,79.5,-6.699999999999999,5.58,-13.459999999999999
2017-01-11,3.62,8.54,0.0,39.5,6.1,10.66,3.34
2017-01-12,3.06,4.02,0.0,0.0,8.3,13.66,5.02
2017-01-13,5.4399999999999995,0.0,0.0,0.0,7.25,12.98,-2.2399999999999998
2017-01-14,2.16,0.76,20.5,0.0,-2.55,-1.1400000000000001,-5.56
2017-01-15,2.2,0.0,0.0,30.0,-0.65,4.42,-6.9
2017-01-16,1.9,0.0,0.0,30.0,-1.5,5.119999999999999,-7.359999999999999
2017-01-17,1.94,5.14,0.0,0.0,2.35,4.779999999999999,-0.05999999999999996
2017-01-18,3.66,2.44,0.0,0.0,3.0999999999999996,4.1,2.12
2017-01-19,2.22,0.0,0.0,0.0,4.2,9.32,-0.08000000000000003
2017-01-20,1.34,0.45999999999999996,0.0,0.0,4.65,5.7,2.46
2017-01-21,1.9,0.0,0.0,0.0,5.85,11.1,2.88
2017-01-22,3.12,0.0,0.0,0.0,5.9,11.239999999999998,3.6799999999999997
2017-01-23,7.359999999999999,13.419999999999998,7.5,0.0,4.75,6.12,1.48
2017-01-24,7.640000000000001,16.46,18.0,25.5,2.5999999999999996,3.6599999999999993,1.78
2017-01-25,4.42,0.0,0.0,25.5,3.65,7.359999999999999,1.0
2017-01-26,3.34,0.28,0.0,15.0,5.2,11.36,2.7600000000000002
2017-01-27,5.0200000000000005,0.0,0.0,0.0,4.95,6.34,1.9
2017-01-28,4.08,0.0,0.0,0.0,2.5,4.42,-0.18000000000000008
2017-01-29,3.04,0.0,0.0,0.0,2.5,5.9,-3.02
2017-01-30,3.12,0.0,0.0,0.0,-0.10000000000000003,2.12,-4.92
2017-01-31,1.9600000000000002,2.54,61.0,25.5,-3.75,-2.0,-7.8
2017-02-01,2.7600000000000002,0.36,9.0,25.5,0.30000000000000004,6.58,-4.4399999999999995
2017-02-02,3.2399999999999998,0.0,0.0,15.0,1.25,5.56,-4.34
2017-02-03,3.78,0.0,0.0,15.0,-1.7999999999999998,0.6799999999999999,-5.46
2017-02-04,4.26,0.0,0.0,15.0,-2.85,0.9199999999999999,-6.8
2017-02-05,3.96,0.0,0.0,15.0,0.6,4.9,-2.66
2017-02-06,3.8,0.0,0.0,0.0,3.25,6.1,-1.2600000000000002
2017-02-07,3.6399999999999997,3.5,0.0,0.0,1.1500000000000001,2.34,-0.38
2017-02-08,3.08,0.6599999999999999,0.0,0.0,4.5,13.440000000000001,1.02
2017-02-09,7.76,13.1,328.0,190.0,0.10000000000000009,2.98,-9.58
