"STATION","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT03","WT05","WT07","WT10","WT11","WT16","WT18"
"USW00094702","2017-01-01","3.7","0.0","0.0","0.0","9.4","0.0",,,,,,,,
"USW00094702","2017-01-02","4.2","3.6","0.0","0.0","3.9","-1.0","    1",,,,,,,
"USW00094702","2017-01-03","5.7","15.7","0.0","0.0","7.2","3.3","    1",,,,,,,
"USW00094702","2017-01-04","5.0","0.3","0.0","0.0","11.7","2.2","    1",,,,,,,
"USW00094702","2017-01-05","4.3","0.0","0.0","0.0","2.2","-1.6",,,,,,,,
"USW00094702","2017-01-06","2.8","0.5","25.0","30.0","1.7","-3.8","    1",,,,,,,
"USW00094702","2017-01-07","6.0","5.6","145.0","0.0","-3.8","-6.0","    1",,,,,,,
"USW00094702","2017-01-08","4.9","0.0","5.0","130.0","-3.8","-9.9",,,,,,,,
"USW00094702","2017-01-09","3.5","0.0","0.0","100.0","-2.7","-12.7",,,,,,,,
"USW00094702","2017-01-10","2.3","0.0","0.0","80.0","7.8","-10.5",,,,,,,,
"USW00094702","2017-01-11","3.9","10.7","0.0","0.0","9.4","5.0","    1",,,,,,,
"USW00094702","2017-01-12","2.4","4.1","0.0","0.0","12.8","5.6","    1",,,,,,,
"USW00094702","2017-01-13","5.3","0.0","0.0","0.0","13.3","-1.0",,,,,,,,
"USW00094702","2017-01-14","1.8","3.0","41.0","0.0","-0.5","-3.8","    1",,,,,,,
"USW00094702","2017-01-15","1.8","0.0","0.0","30.0","5.6","-6.0","    1",,,,,,,
"USW00094702","2017-01-16","2.3","0.0","0.0","30.0","5.6","-5.5",,,,,,,,
"USW00094702","2017-01-17","3.0","4.3","0.0","0.0","5.6","2.2","    1",,,,,,,
"USW00094702","2017-01-18","4.0","3.0","0.0","0.0","5.6","3.9","    1",,,,,,,
"USW00094702","2017-01-19","2.2","0.0","0.0","0.0","10.6","0.6","    1",,,,,,,
"USW00094702","2017-01-20","1.4","0.5","0.0","0.0","6.1","4.4","    1",,,,,,,
"USW00094702","2017-01-21","2.3","0.0","0.0","0.0","10.0","4.4","    1",,,,,,,
"USW00094702","2017-01-22","3.8","0.0","0.0","0.0","10.6","5.0","    1",,,,,,,
"USW00094702","2017-01-23","9.3","14.0","0.0","0.0","7.2","2.8","    1",,,,,,,
"USW00094702","2017-01-24","8.2","14.7","0.0","0.0","5.0","3.3","    1",,,,,,,
"USW00094702","2017-01-25","4.2","0.0","0.0","0.0","10.0","2.2",,,,,,,,
"USW00094702","2017-01-26","3.5","0.3","0.0","0.0","12.8","4.4",,,,,,,,
"USW00094702","2017-01-27","5.4","0.0","0.0","0.0","7.8","3.3",,,,,,,,
"USW00094702","2017-01-28","4.9","0.0","0.0","0.0","5.6","1.7",,,,,,,,
"USW00094702","2017-01-29","4.0","0.0","0.0","0.0","7.2","-1.6",,,,,,,,
"USW00094702","2017-01-30","3.2","0.0","0.0","0.0","3.9","-2.7",,,,,,,,
"USW00094702","2017-01-31","2.8","3.0","64.0","0.0","0.6","-4.9","    1",,,,,,,
"USW00094702","2017-02-01","3.3","0.0","0.0","0.0","8.3","-2.1","    1",,,,,,,
"USW00094702","2017-02-02","4.0","0.0","0.0","0.0","7.8","-1.0",,,,,,,,
"USW00094702","2017-02-03","4.4","0.0","0.0","0.0","1.7","-3.8",,,,,,,,
"USW00094702","2017-02-04","4.6","0.0","0.0","0.0","1.7","-5.5",,,,,,,,
"USW00094702","2017-02-05","5.0","0.0","0.0","0.0","5.0","-1.0",,,,,,,,
"USW00094702","2017-02-06","4.5","0.0","0.0","0.0","7.8","1.7",,,,,,,,
"USW00094702","2017-02-07","4.2","3.8","0.0","0.0","3.9","1.7","    1",,,,,,,
"USW00094702","2017-02-08","3.7","0.0","0.0","0.0","17.2","3.3","    1",,,,,,,
"USW00094702","2017-02-09","7.7","21.3","262.0","50.0","5.0","-8.8","    1","    1",,,,,,
"USW00094702","2017-02-10","4.5","0.0","0.0","230.0","0.0","-8.8",,,,,,,,
"USW00094702","2017-02-11","2.1","0.0","0.0","200.0","5.0","-1.6",,,,,,,,
"USW00094702","2017-02-12","4.7","13.0","64.0","150.0","1.7","-2.7","    1",,,,,,,
"USW00094702","2017-02-13","8.0","0.3","0.0","180.0","4.4","-1.6",,,,,,,,
"USW00094702","2017-02-14","3.0","0.0","0.0","180.0","3.3","-4.9",,,,,,,,
"USW00094702","2017-02-15","2.9","0.3","0.0","150.0","7.8","-2.1","    1",,,,,,,
"USW00094702","2017-02-16","5.7","0.0","0.0","130.0","3.9","-2.7",,,,,,,,
"USW00094702","2017-02-17","3.8","0.0","0.0","130.0","5.6","-3.2",,,,,,,,
"USW00094702","2017-02-18","2.2","0.0","0.0","100.0","11.1","-2.7",,,,,,,,
"USW00094702","2017-02-19","2.7","0.0","0.0","80.0","17.2","3.3",,,,,,,,
"USW00094702","2017-02-20","4.5","0.0","0.0","0.0","11.1","2.2",,,,,,,,
"USW00094702","2017-02-21","2.0","0.0","0.0","0.0","7.2","-2.7",,,,,,,,
"USW00094702","2017-02-22","1.8","0.0","0.0","0.0","11.1","3.9",,,,,,,,
"USW00094702","2017-02-23","0.9","0.0","0.0","0.0","12.2","2.8","    1",,,,,,,
"USW00094702","2017-02-24","2.2","0.0","0.0","0.0","18.3","5.0","    1",,,,,,,
"USW00094702","2017-02-25","3.6","9.9","0.0","0.0","14.4","6.7","    1",,,,,,,
"USW00094702","2017-02-26","6.1","0.0","0.0","0.0","7.2","0.6",,,,,,,,
"USW00094702","2017-02-27","3.9","0.0","0.0","0.0","10.0","0.6",,,,,,,,
"USW00094702","2017-02-28","3.3","0.0","0.0","0.0","9.4","3.9","    1",,,,,,,
"USW00094702","2017-03-01","3.2","7.4","0.0","0.0","12.8","7.2","    1","    1",,,,,,
"USW00094702","2017-03-02","9.4","0.0","0.0","0.0","16.1","1.1",,,,,,,,
"USW00094702","2017-03-03","6.2","0.0","0.0","0.0","5.0","-4.3",,,,,,,,
"USW00094702","2017-03-04","6.8","0.0","0.0","0.0","0.0","-8.8",,,,,,,,
"USW00094702","2017-03-05","5.5","0.0","0.0","0.0","1.1","-10.5",,,,,,,,
"USW00094702","2017-03-06","2.3","0.0","0.0","0.0","5.6","-6.6",,,,,,,,
"USW00094702","2017-03-07","2.4","1.5","0.0","0.0","9.4","3.9","    1",,,,,,,
"USW00094702","2017-03-08","5.3","1.3","0.0","0.0","15.0","6.7","    1",,,,,,,
"USW00094702","2017-03-09","7.0","0.0","0.0","0.0","16.1","8.3",,,,,,,,
"USW00094702","2017-03-10","5.8","6.1","102.0","0.0","8.9","-4.9","    1",,,,,,,
"USW00094702","2017-03-11","7.4","0.0","0.0","50.0","-1.0","-8.2",,,,,,,,
"USW00094702","2017-03-12","5.1","0.0","0.0","30.0","0.0","-9.3",,,,,,,,
"USW00094702","2017-03-13","3.2","0.0","0.0","0.0","0.6","-8.2",,,,,,,,
"USW00094702","2017-03-14","10.1","34.3","180.0","130.0","2.8","-4.9","    1",,,,,,,
"USW00094702","2017-03-15","7.1","0.0","0.0","180.0","-1.6","-6.6",,,,,,,,
"USW00094702","2017-03-16","6.2","0.0","0.0","180.0","3.9","-3.8",,,,,,,,
"USW00094702","2017-03-17","3.4","0.0","0.0","150.0","8.3","-1.6",,,,,,,,
"USW00094702","2017-03-18","5.9","0.0","0.0","150.0","3.9","-2.7",,,,,,,,
"USW00094702","2017-03-19","5.7","0.0","0.0","130.0","8.3","0.6",,,,,,,,
"USW00094702","2017-03-20","3.6","0.0","0.0","130.0","12.2","0.6",,,,,,,,
"USW00094702","2017-03-21","3.1","0.0","0.0","80.0","11.7","4.4",,,,,,,,
"USW00094702","2017-03-22","8.0","0.0","0.0","30.0","6.7","-4.3",,,,,,,,
"USW00094702","2017-03-23","3.8","0.0","0.0","0.0","6.1","-6.6",,,,,,,,
"USW00094702","2017-03-24","3.0","0.0","0.0","0.0","8.3","-1.6",,,,,,,,
"USW00094702","2017-03-25","2.6","0.3","0.0","0.0","12.8","3.3",,,,,,,,
"USW00094702","2017-03-26","5.5","0.5","0.0","0.0","5.6","2.8","    1",,,,,,,
"USW00094702","2017-03-27","3.7","11.7","0.0","0.0","8.9","3.3","    1",,,,,,,
"USW00094702","2017-03-28","4.1","18.8","0.0","0.0","7.2","4.4","    1",,,,,,,
"USW00094702","2017-03-29","5.3","0.0","0.0","0.0","13.9","5.0",,,,,,,,
"USW00094702","2017-03-30","3.5","0.0","0.0","0.0","10.0","1.1",,,,,,,,
"USW00094702","2017-03-31","8.1","28.4","0.0","0.0","6.1","3.3","    1",,,,,,,
"USW00094702","2017-04-01","7.2","0.3","0.0","0.0","7.8","3.3","    1",,,,,,,
"USW00094702","2017-04-02","4.3","0.0","0.0","0.0","17.8","3.9",,,,,,,,
"USW00094702","2017-04-03","2.4","0.3","0.0","0.0","15.0","3.3",,,,,,,,
"USW00094702","2017-04-04","6.0","46.0","0.0","0.0","9.4","6.7","    1",,,,,,,
"USW00094702","2017-04-05","2.7","0.0","0.0","0.0","12.8","6.7",,,,,,,,
"USW00094702","2017-04-06","8.7","30.5","0.0","0.0","12.8","5.0","    1","    1",,,,,,
"USW00094702","2017-04-07","6.5","0.0","0.0","0.0","10.6","5.0",,,,,,,,
"USW00094702","2017-04-08","5.5","0.0","0.0","0.0","14.4","4.4",,,,,,,,
"USW00094702","2017-04-09","3.4","0.0","0.0","0.0","16.7","1.7",,,,,,,,
"USW00094702","2017-04-10","2.5","0.0","0.0","0.0","19.4","5.0",,,,,,,,
"USW00094702","2017-04-11","2.7","0.0","0.0","0.0","21.1","8.3",,,,,,,,
