"STATION","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT03","WT05","WT07","WT10","WT11","WT16","WT18"
"USW00093805","2017-01-01","4.1","1.5",,,"22.2","12.8","    1",,,,,,,
"USW00093805","2017-01-02","3.2","12.2",,,"23.3","16.1","    1","    1",,,,,,
"USW00093805","2017-01-03","3.1","65.3",,,"26.7","13.9","    1","    1",,,,,,
"USW00093805","2017-01-04","2.5","0.0",,,"19.4","10.6","    1",,,,,,,
"USW00093805","2017-01-05","1.6","0.0",,,"20.0","4.4","    1",,,,,,,
"USW00093805","2017-01-06","2.1","18.5",,,"22.8","7.8","    1","    1",,,,,,
"USW00093805","2017-01-07","7.1","17.0",,,"8.9","0.6","    1",,,,,,,
"USW00093805","2017-01-08","3.4","0.0",,,"8.3","-3.8",,,,,,,,
"USW00093805","2017-01-09","1.6","0.0",,,"13.3","-4.9",,,,,,,,
"USW00093805","2017-01-10","1.9","0.0",,,"19.4","-1.6","    1",,,,,,,
"USW00093805","2017-01-11","1.7","0.0",,,"22.2","3.9","    1",,,,,,,
"USW00093805","2017-01-12","1.6","0.0",,,"23.9","6.1","    1",,,,,,,
"USW00093805","2017-01-13","1.0","0.0",,,"26.7","7.2","    1",,,,,,,
"USW00093805","2017-01-14","0.5","0.0",,,"26.1","7.8","    1",,,,,,,
"USW00093805","2017-01-15","0.9","0.0",,,"25.0","8.9","    1",,,,,,,
"USW00093805","2017-01-16","2.7","0.0",,,"25.0","12.2","    1",,,,,,,
"USW00093805","2017-01-17","1.7","0.0",,,"25.0","9.4","    1",,,,,,,
"USW00093805","2017-01-18","1.3","0.0",,,"26.7","15.0","    1",,,,,,,
"USW00093805","2017-01-19","1.9","0.0",,,"24.4","15.0","    1",,,,,,,
"USW00093805","2017-01-20","3.0","10.2",,,"26.1","16.7","    1",,,,,,,
"USW00093805","2017-01-21","4.8","47.5",,,"25.6","17.2","    1","    1",,,,,,
"USW00093805","2017-01-22","7.0","7.4",,,"25.6","12.8","    1","    1",,,,,,
"USW00093805","2017-01-23","6.8","0.0",,,"19.4","12.8",,,,,,,,
"USW00093805","2017-01-24","2.1","0.0",,,"21.1","6.7",,,,,,,,
"USW00093805","2017-01-25","2.3","0.0",,,"25.6","3.9","    1",,,,,,,
"USW00093805","2017-01-26","3.7","3.6",,,"20.0","12.8","    1",,,,,,,
"USW00093805","2017-01-27","4.1","0.0",,,"14.4","3.9",,,,,,,,
"USW00093805","2017-01-28","2.6","0.0",,,"10.6","3.3",,,,,,,,
"USW00093805","2017-01-29","3.5","0.0",,,"17.2","3.3",,,,,,,,
"USW00093805","2017-01-30","1.8","0.0",,,"18.3","-0.5",,,,,,,,
"USW00093805","2017-01-31","2.3","0.0",,,"23.9","1.7",,,,,,,,
"USW00093805","2017-02-01","1.6","0.0",,,"23.9","5.6","    1",,,,,,,
"USW00093805","2017-02-02","1.1","0.0",,,"24.4","9.4","    1",,,,,,,
"USW00093805","2017-02-03","2.7","0.0",,,"26.1","8.9","    1",,,,,,,
"USW00093805","2017-02-04","3.1","0.0",,,"16.1","6.1",,,,,,,,
"USW00093805","2017-02-05","0.9","0.0",,,"23.3","2.8","    1",,,,,,,
"USW00093805","2017-02-06","1.2","0.0",,,"24.4","9.4","    1",,,,,,,
"USW00093805","2017-02-07","3.0","35.3",,,"24.4","7.2","    1","    1",,,,,,
"USW00093805","2017-02-08","3.4","1.0",,,"26.7","14.4","    1",,,,,,,
"USW00093805","2017-02-09","5.5","0.0",,,"22.2","9.4",,,,,,,,
"USW00093805","2017-02-10","2.2","0.0",,,"20.6","5.0",,,,,,,,
"USW00093805","2017-02-11","2.1","0.0",,,"26.1","3.9","    1",,,,,,,
"USW00093805","2017-02-12","3.7","0.0",,,"27.8","16.7","    1",,,,,,,
"USW00093805","2017-02-13","2.3","0.0",,,"25.6","8.9","    1",,,,,,,
