"STATION","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT03","WT05","WT07","WT10","WT11","WT16","WT18"
"USW00022536","2017-01-01","4.9","0.3",,,"25.0","17.8",,,,,,,,
"USW00022536","2017-01-02","4.0","0.0",,,"25.0","17.8",,,,,,,,
"USW00022536","2017-01-03","5.0","0.3",,,"25.0","16.1",,,,,,,,
"USW00022536","2017-01-04","4.3","2.5",,,"24.4","18.9","    1",,,,,,,
"USW00022536","2017-01-05","3.6","0.0",,,"24.4","16.7",,,,,,,,
"USW00022536","2017-01-06","3.9","0.0",,,"24.4","14.4",,,,,,,,
"USW00022536","2017-01-07","4.4","0.3",,,"25.0","16.1",,,,,,,,
"USW00022536","2017-01-08","3.5","0.0",,,"25.6","16.7",,,,,,,,
"USW00022536","2017-01-09","3.5","0.0",,,"27.2","15.0",,,,,,,,
"USW00022536","2017-01-10","3.0","0.0",,,"26.7","18.3",,,,,,,,
"USW00022536","2017-01-11","3.6","0.0",,,"27.2","17.2",,,,,,,,
"USW00022536","2017-01-12","3.5","0.0",,,"27.2","20.6",,,,,,,,
"USW00022536","2017-01-13","3.2","0.0",,,"27.2","18.3",,,,,,,,
"USW00022536","2017-01-14","3.1","0.0",,,"27.8","18.9",,,,,,,,
"USW00022536","2017-01-15","3.0","0.0",,,"26.7","18.3",,,,,,,,
"USW00022536","2017-01-16","3.3","0.0",,,"26.7","19.4",,,,,,,,
"USW00022536","2017-01-17","4.3","0.0",,,"27.8","21.7",,,,,,,,
"USW00022536","2017-01-18","4.6","0.0",,,"27.8","21.7","    1",,,,,,,
"USW00022536","2017-01-19","4.9","0.0",,,"27.8","20.6",,,,,,,,
"USW00022536","2017-01-20","4.6","0.8",,,"28.3","20.0",,,,,,,,
"USW00022536","2017-01-21","13.7","0.5",,,"24.4","20.6","    1",,,,,,,
"USW00022536","2017-01-22","10.0","0.0",,,"25.6","21.7",,,,,,,,
"USW00022536","2017-01-23","7.4","0.0",,,"27.2","21.7","    1",,,,,,,
"USW00022536","2017-01-24","6.6","0.5",,,"27.2","22.8","    1",,,,,,,
"USW00022536","2017-01-25","5.9","0.0",,,"27.2","22.2",,,,,,,,
"USW00022536","2017-01-26","4.7","0.0",,,"26.7","18.9",,,,,,,,
"USW00022536","2017-01-27","3.2","0.0",,,"25.6","17.2",,,,,,,,
"USW00022536","2017-01-28","5.5","0.0",,,"26.7","18.3","    1",,,,,,,
"USW00022536","2017-01-29","9.7","0.0",,,"25.0","19.4",,,,,,,,
"USW00022536","2017-01-30","9.6","0.0",,,"24.4","20.0",,,,,,,,
"USW00022536","2017-01-31","8.3","0.0",,,"25.0","20.6",,,,,,,,
"USW00022536","2017-02-01","4.7","0.0",,,"25.6","17.2",,,,,,,,
"USW00022536","2017-02-02","3.5","0.0",,,"26.1","15.6",,,,,,,,
"USW00022536","2017-02-03","3.4","0.0",,,"26.1","16.7",,,,,,,,
"USW00022536","2017-02-04","5.1","0.0",,,"28.3","16.7",,,,,,,,
"USW00022536","2017-02-05","9.5","0.0",,,"28.9","23.3",,,,,,,,
"USW00022536","2017-02-06","4.1","3.8",,,"27.2","18.3","    1",,,,,,,
"USW00022536","2017-02-07","4.5","0.0",,,"26.7","15.6",,,,,,,,
"USW00022536","2017-02-08","4.1","0.0",,,"25.0","15.0",,,,,,,,
"USW00022536","2017-02-09","3.6","0.0",,,"25.0","15.0",,,,,,,,
"USW00022536","2017-02-10","5.6","8.9",,,"26.1","16.7","    1","    1",,,,,,
"USW00022536","2017-02-11","3.7","104.9",,,"25.6","17.2","    1","    1",,,,,,
"USW00022536","2017-02-12","4.8","0.0",,,"26.1","16.1",,,,,,,,
"USW00022536","2017-02-13","8.5","0.0",,,"28.3","20.6",,,,,,,,
"USW00022536","2017-02-14","10.0","0.0",,,"29.4","23.3",,,,,,,,
"USW00022536","2017-02-15","2.6","0.0",,,"23.9","20.0","    1",,,,,,,
"USW00022536","2017-02-16","4.1","0.0",,,"25.0","17.8","    1",,,,,,,
"USW00022536","2017-02-17","3.6","0.0",,,"26.7","19.4",,,,,,,,
"USW00022536","2017-02-18","5.0","0.0",,,"27.2","18.9",,,,,,,,
"USW00022536","2017-02-19","9.2","0.0",,,"24.4","20.6",,,,,,,,
