Date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2017-01-01,1.8571428571428572,0.34285714285714286,5.333333333333333,136.66666666666666,-7.8999999999999995,-5.771428571428571,-14.042857142857144
2017-01-02,2.4625,0.8999999999999999,22.0,136.66666666666666,-7.133333333333333,-6.487500000000001,-13.725000000000001
2017-01-03,2.225,1.2125,31.333333333333332,150.0,-8.566666666666668,-7.050000000000001,-14.2625
2017-01-04,4.9125,3.8625,100.66666666666667,193.33333333333334,-7.366666666666667,-6.4375,-13.6
2017-01-05,2.6125,0.0375,3.3333333333333335,263.3333333333333,-12.033333333333333,-10.325000000000001,-23.4375
2017-01-06,2.725,0.0,0.0,246.66666666666666,-17.066666666666666,-12.8875,-24.35
2017-01-07,3.5625,2.4375,33.0,210.0,-15.6,-6.5,-21.65
2017-01-08,3.975,5.2250000000000005,11.666666666666666,240.0,-6.0,3.7625,-7.825
2017-01-09,4.9,2.8625,12.0,153.33333333333334,2.5,4.3125,-2.6125
2017-01-10,4.9125,7.55,47.333333333333336,136.66666666666666,0.1333333333333333,1.825,-2.75
2017-01-11,4.85,2.1999999999999997,10.333333333333334,110.0,0.6333333333333333,1.6875,-6.025
2017-01-12,2.2375,0.0,0.0,103.33333333333333,-5.133333333333333,-3.2,-11.925
2017-01-13,1.9124999999999999,0.0,0.0,103.33333333333333,-9.333333333333334,-6.0,-14.5
2017-01-14,1.8875,0.0375,0.0,93.33333333333333,-10.633333333333333,-7.5375,-14.9125
2017-01-15,1.575,0.0,6.0,93.33333333333333,-11.566666666666668,-8.7125,-16.2875
2017-01-16,1.6,0.0,4.333333333333333,93.33333333333333,-13.033333333333333,-8.5875,-16.6875
2017-01-17,3.1625,0.0375,0.0,86.66666666666667,-12.600000000000001,-4.9875,-16.1625
2017-01-18,3.125,7.375,17.0,66.66666666666667,-6.8,0.5125,-11.025
2017-01-19,3.4000000000000004,4.7,28.0,93.33333333333333,1.3666666666666665,2.775,-1.75
2017-01-20,3.0,0.2875,1.6666666666666667,100.0,1.7666666666666666,3.125,-4.3
2017-01-21,3.2125,0.575,7.666666666666667,86.66666666666667,1.2333333333333332,2.0375,-2.9125
2017-01-22,4.575,1.15,2.6666666666666665,83.33333333333333,2.1333333333333333,2.2375,-3.5999999999999996
2017-01-23,3.3874999999999997,3.9,98.0,83.33333333333333,-0.10000000000000002,-0.3125,-4.9625
2017-01-24,3.4749999999999996,0.8875,39.0,160.0,-1.8,-1.5875,-8.0375
2017-01-25,1.625,0.4375,9.333333333333334,176.66666666666666,-3.966666666666667,-3.3875,-9.6375
2017-01-26,1.6125,0.0375,0.0,170.0,-3.3000000000000003,-2.625,-9.35
