Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,2.1599999999999997,0.12,5.333333333333333,136.66666666666666,-4.9,-12.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,2.54,0.52,22.0,136.66666666666666,-5.32,-12.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,2.08,1.3800000000000001,31.333333333333332,150.0,-5.9,-13.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,4.9,5.0200000000000005,100.66666666666667,193.33333333333334,-5.36,-12.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,2.7399999999999998,0.06,3.3333333333333335,263.3333333333333,-10.8,-24.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,2.88,0.0,0.0,246.66666666666666,-12.9,-25.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,4.0,1.98,33.0,210.0,-5.9,-21.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,4.36,5.0600000000000005,11.666666666666666,240.0,3.8,-7.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,5.6,4.279999999999999,12.0,153.33333333333334,4.9,-1.6800000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,5.4799999999999995,9.940000000000001,47.333333333333336,136.66666666666666,2.88,-1.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,6.12,2.34,10.333333333333334,110.0,3.12,-4.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,2.48,0.0,0.0,103.33333333333333,-2.16,-11.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,2.2399999999999998,0.0,0.0,103.33333333333333,-5.9,-14.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,2.2800000000000002,0.06,0.0,93.33333333333333,-7.8,-14.919999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,1.72,0.0,6.0,93.33333333333333,-9.34,-16.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,1.72,0.0,4.333333333333333,93.33333333333333,-10.24,-17.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,3.56,0.0,0.0,86.66666666666667,-6.14,-17.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18,3.3600000000000003,4.9399999999999995,17.0,66.66666666666667,0.36,-12.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19,3.7600000000000002,4.220000000000001,28.0,93.33333333333333,3.3199999999999994,-1.7399999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-20,3.22,0.06,1.6666666666666667,100.0,3.78,-3.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-21,3.44,0.5599999999999999,7.666666666666667,86.66666666666667,3.12,-2.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-22,4.4799999999999995,0.72,2.6666666666666665,83.33333333333333,3.44,-2.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-23,3.9,4.5,98.0,83.33333333333333,0.4600000000000001,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-24,3.54,1.3599999999999999,39.0,160.0,-1.04,-7.0200000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-25,1.7600000000000002,0.7,9.333333333333334,176.66666666666666,-2.7,-8.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-26,1.46,0.06,0.0,170.0,-2.3600000000000003,-8.459999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-27,1.94,0.0,0.0,170.0,-4.12,-9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-28,2.38,0.0,0.0,153.33333333333334,-4.5600000000000005,-12.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-29,3.1,0.0,0.0,153.33333333333334,-3.9199999999999995,-14.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-30,1.78,0.0,0.0,143.33333333333334,-3.1399999999999997,-14.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,2.5599999999999996,0.72,21.333333333333332,145.33333333333334,0.16000000000000006,-12.120000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,2.42,0.0,0.0,136.66666666666666,-0.38000000000000006,-9.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02,2.3600000000000003,0.0,0.0,110.0,-3.02,-9.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
