Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,3.4200000000000004,0.0,0.0,37.5,1.78,-8.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,4.26,4.119999999999999,0.0,37.5,1.78,-0.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,9.0,0.26,0.0,37.5,0.2599999999999999,-13.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,6.720000000000001,0.1,2.0,37.5,-12.120000000000001,-16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,5.0,0.0,0.0,37.5,-12.68,-18.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,3.06,0.0,0.0,37.5,-10.8,-20.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,3.46,0.0,0.0,37.5,-8.24,-16.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,5.14,0.0,0.0,37.5,-5.0,-18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,4.54,0.0,0.0,37.5,-0.28,-10.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,7.1,8.5,1.5,32.5,3.5799999999999996,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,5.9399999999999995,0.36,7.0,32.5,-1.9600000000000002,-11.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,5.3,0.16,3.25,40.0,-5.9,-13.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,3.7399999999999998,0.06,1.25,40.0,-7.58,-14.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,1.36,0.0,0.0,45.0,-0.6200000000000001,-10.379999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,1.8599999999999999,0.5,0.0,37.5,0.47999999999999987,-9.559999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,3.7,12.9,0.0,32.5,0.78,-2.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,4.64,0.0,0.0,25.0,1.44,-1.8399999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18,4.46,0.0,0.0,25.0,5.5600000000000005,-2.7800000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19,3.38,4.1,0.0,25.0,3.44,-0.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-20,2.8600000000000003,0.42000000000000004,0.0,20.0,4.319999999999999,1.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-21,2.82,2.28,0.0,20.0,6.540000000000001,-0.9400000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
