"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00003957","2017-01-01","2.9","0.0","0.0","0.0",,"10.6","-3.8"
"USW00003957","2017-01-02","3.9","0.0","0.0","0.0",,"17.8","3.3"
"USW00003957","2017-01-03","7.6","0.0","0.0","0.0",,"3.9","-7.1"
"USW00003957","2017-01-04","3.8","0.0","0.0","0.0",,"-2.1","-11.6"
"USW00003957","2017-01-05","5.3","0.3","0.0","0.0",,"-6.6","-10.5"
"USW00003957","2017-01-06","2.2","0.0","0.0","0.0",,"-4.9","-16.0"
"USW00003957","2017-01-07","1.9","0.0","0.0","0.0",,"3.3","-16.6"
"USW00003957","2017-01-08","5.2","0.0","0.0","0.0",,"7.2","-9.9"
"USW00003957","2017-01-09","4.5","0.0","0.0","0.0",,"10.0","-6.6"
"USW00003957","2017-01-10","6.2","0.0","0.0","0.0",,"19.4","5.0"
"USW00003957","2017-01-11","4.8","0.0","0.0","0.0",,"20.6","-5.5"
"USW00003957","2017-01-12","4.9","0.0","0.0","0.0",,"0.6","-10.5"
"USW00003957","2017-01-13","3.9","0.0","0.0","0.0",,"-2.7","-7.1"
"USW00003957","2017-01-14","2.2","23.6","0.0","0.0",,"1.1","-3.2"
"USW00003957","2017-01-15","2.9","50.3","0.0","0.0",,"0.0","-0.5"
"USW00003957","2017-01-16","3.7","13.5","0.0","0.0",,"3.3","0.0"
"USW00003957","2017-01-17","2.2","0.0","0.0","0.0",,"12.8","-2.1"
"USW00003957","2017-01-18","2.9","0.3","0.0","0.0",,"12.2","0.0"
"USW00003957","2017-01-19","3.5","0.0","0.0","0.0",,"8.9","-0.5"
"USW00003957","2017-01-20","2.1","0.0","0.0","0.0",,"9.4","-0.5"
"USW00003957","2017-01-21","2.6","0.3","0.0","0.0",,"8.9","-2.7"
"USW00003957","2017-01-22","5.4","5.8","0.0","0.0",,"12.8","-1.0"
"USW00003957","2017-01-23","3.9","0.0","0.0","0.0",,"13.3","-4.9"
"USW00003957","2017-01-24","5.5","0.0","0.0","0.0",,"19.4","0.0"
"USW00003957","2017-01-25","6.2","0.0","0.0","0.0",,"5.0","-5.5"
"USW00003957","2017-01-26","3.6","0.0","0.0","0.0",,"6.7","-8.2"
"USW00003957","2017-01-27","4.3","0.0","0.0","0.0",,"8.3","-6.6"
"USW00003957","2017-01-28","5.1","0.0","0.0","0.0",,"11.7","-2.7"
"USW00003957","2017-01-29","4.3","0.0","0.0","0.0",,"18.3","-0.5"
"USW00003957","2017-01-30","2.5","0.0","0.0","0.0",,"22.8","-3.8"
"USW00003957","2017-01-31","3.4","0.0","0.0","0.0",,"14.4","0.6"
"USW00003957","2017-02-01","7.5","0.0","0.0","0.0",,"8.3","-2.7"
"USW00003957","2017-02-02","4.4","0.0","0.0","0.0",,"0.6","-7.1"
"USW00003957","2017-02-03","2.3","0.0","0.0","0.0",,"2.8","-9.3"
"USW00003957","2017-02-04","5.1","0.0","0.0","0.0",,"16.7","-5.5"
"USW00003957","2017-02-05","2.9","0.0","0.0","0.0",,"13.3","-4.3"
"USW00003957","2017-02-06","2.7","0.3","0.0","0.0",,"19.4","6.7"
"USW00003957","2017-02-07","4.0","0.0","0.0","0.0",,"22.2","0.0"
"USW00003957","2017-02-08","6.3","0.0","0.0","0.0",,"3.3","-7.1"
