Date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2017-01-01,1.9625,0.9875,0.0,0.0,5.540000000000001,9.2875,3.15
2017-01-02,1.6,2.575,0.0,0.0,10.26,16.25,7.9875
2017-01-03,3.5749999999999997,12.15,0.0,0.0,13.620000000000001,15.075,5.9
2017-01-04,4.5875,0.125,0.0,0.0,2.24,5.975,-4.5625
2017-01-05,2.525,2.0625,49.4,0.0,-4.42,-2.8875,-6.8625
2017-01-06,3.4,0.075,1.0,32.0,-8.559999999999999,-6.5125,-11.0875
2017-01-07,3.275,0.0,0.0,18.0,-11.2,-7.1125,-13.7125
2017-01-08,1.7,0.0,0.6,12.0,-9.72,-4.0125,-13.15
2017-01-09,3.8125,0.0,0.0,0.0,-3.62,4.4625,-7.475
2017-01-10,7.375,5.762499999999999,0.0,0.0,6.5,13.1375,3.825
2017-01-11,4.3625,7.025,0.0,0.0,10.58,17.575,5.45
2017-01-12,6.0625,7.7875,0.0,0.0,17.2,20.3375,5.7
2017-01-13,3.6125,6.2875,0.0,0.0,4.0,5.9,2.6375
2017-01-14,1.7875,8.275,0.0,0.0,3.84,8.1375,3.4
2017-01-15,1.95,2.2375,0.0,0.0,3.72,6.2625,3.4875
2017-01-16,2.0,4.5,0.0,0.0,7.779999999999999,16.75,5.35
2017-01-17,5.225,13.575,0.0,0.0,14.2,17.7,8.0625
2017-01-18,2.3,0.1375,0.0,0.0,6.779999999999999,8.549999999999999,3.825
2017-01-19,2.1375,12.5,0.0,0.0,7.0,12.85,3.6
2017-01-20,3.4375,5.825,0.0,0.0,13.0,17.775,10.4375
2017-01-21,2.4,0.0375,0.0,0.0,14.2,18.9625,9.725
2017-01-22,3.025,1.1124999999999998,0.0,0.0,12.66,16.7375,8.2375
2017-01-23,5.7125,7.675,0.0,0.0,10.34,12.825,5.6625
2017-01-24,3.125,0.2,0.0,0.0,6.1,8.55,2.9125
2017-01-25,4.3500000000000005,0.36250000000000004,0.0,0.0,8.52,16.4375,1.8125
2017-01-26,5.425,0.0375,0.6,0.0,5.08,8.125,0.525
2017-01-27,4.2625,0.5125,7.2,0.0,0.5,3.2,-1.7750000000000001
2017-01-28,4.45,0.0,0.0,0.0,1.06,7.5625,-3.1625
2017-01-29,3.7125,0.65,11.2,0.0,1.4,3.3375,-1.975
