Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,2.34,0.9199999999999999,0.0,0.0,8.86,2.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,2.04,1.8399999999999999,0.0,0.0,15.559999999999999,7.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,3.9,12.34,0.0,0.0,14.780000000000001,5.5600000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,5.04,0.0,0.0,0.0,5.5600000000000005,-5.0200000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,2.9,2.2199999999999998,47.75,0.0,-3.2399999999999998,-7.359999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,3.84,0.06,0.0,32.5,-6.8,-11.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,3.5799999999999996,0.0,0.0,15.0,-7.340000000000001,-14.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,1.86,0.0,0.0,7.5,-4.14,-13.540000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,4.2,0.0,0.0,0.0,4.24,-7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,7.92,4.06,0.0,0.0,13.24,3.78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,4.74,7.5200000000000005,0.0,0.0,17.240000000000002,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,6.8,6.5200000000000005,0.0,0.0,20.1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,4.2,6.24,0.0,0.0,5.220000000000001,2.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,2.08,9.239999999999998,0.0,0.0,7.239999999999999,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,2.4,2.1,0.0,0.0,5.779999999999999,3.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,2.3,4.66,0.0,0.0,16.02,5.12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,5.6,13.6,0.0,0.0,17.759999999999998,7.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18,2.54,0.22000000000000003,0.0,0.0,8.0,3.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19,2.5,10.5,0.0,0.0,12.559999999999999,3.7600000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-20,3.8200000000000003,6.76,0.0,0.0,17.22,9.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-21,2.7800000000000002,0.0,0.0,0.0,18.9,9.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-22,3.54,0.86,0.0,0.0,16.22,7.980000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-23,6.26,6.14,0.0,0.0,12.3,5.4799999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
