"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014609","2017-01-01","1.9","1.5",,,,"-1.0","-8.2"
"USW00014609","2017-01-02","0.4","0.0",,,,"0.0","-17.7"
"USW00014609","2017-01-03","2.1","1.5",,,,"-4.9","-19.9"
"USW00014609","2017-01-04","3.6","22.4",,,,"0.6","-4.9"
"USW00014609","2017-01-05","6.1","0.5",,,,"0.0","-7.1"
"USW00014609","2017-01-06","1.9","0.0",,,,"-4.9","-22.7"
"USW00014609","2017-01-07","1.0","0.0",,,,"-12.1","-27.7"
"USW00014609","2017-01-08","4.6","0.0",,,,"-12.1","-19.9"
"USW00014609","2017-01-09","2.5","0.0",,,,"-14.3","-27.7"
"USW00014609","2017-01-10","3.1","0.0",,,,"1.7","-19.9"
"USW00014609","2017-01-11","6.1","6.9",,,,"7.8","-1.6"
"USW00014609","2017-01-12","4.2","2.0",,,,"7.8","2.8"
"USW00014609","2017-01-13","6.6","1.0",,,,"7.2","-14.9"
"USW00014609","2017-01-14","2.9","0.0",,,,"-11.6","-19.3"
"USW00014609","2017-01-15","2.6","0.0",,,,"-9.3","-22.1"
"USW00014609","2017-01-16","3.3","0.0",,,,"-2.1","-22.7"
"USW00014609","2017-01-17","3.3","0.0",,,,"-2.7","-18.8"
"USW00014609","2017-01-18","2.2","0.0",,,,"-5.5","-17.7"
"USW00014609","2017-01-19","1.6","3.0",,,,"-1.0","-7.7"
"USW00014609","2017-01-20","1.3","0.0",,,,"-0.5","-11.0"
"USW00014609","2017-01-21","2.0","0.0",,,,"0.6","-2.7"
"USW00014609","2017-01-22","2.6","0.0",,,,"-0.5","-7.7"
"USW00014609","2017-01-23","1.6","0.0",,,,"-1.6","-11.6"
"USW00014609","2017-01-24","5.7","23.9",,,,"1.7","-9.3"
"USW00014609","2017-01-25","3.8","8.4",,,,"1.7","-0.5"
"USW00014609","2017-01-26","2.9","0.3",,,,"1.1","-2.1"
"USW00014609","2017-01-27","4.9","0.5",,,,"-1.0","-6.6"
"USW00014609","2017-01-28","5.5","0.0",,,,"-2.1","-6.6"
"USW00014609","2017-01-29","3.1","0.0",,,,"1.7","-6.0"
"USW00014609","2017-01-30","1.8","0.0",,,,"-1.6","-16.0"
"USW00014609","2017-01-31","0.9","0.0",,,,"-6.6","-21.6"
"USW00014609","2017-02-01","0.6","1.5",,,,"-7.7","-24.9"
"USW00014609","2017-02-02","1.8","0.0",,,,"-3.2","-22.7"
"USW00014609","2017-02-03","2.3","0.0",,,,"-8.2","-22.7"
"USW00014609","2017-02-04","2.0","0.0",,,,"-8.8","-28.2"
"USW00014609","2017-02-05","1.6","0.3",,,,"-2.7","-18.8"
"USW00014609","2017-02-06","4.5","2.3",,,,"-3.8","-16.6"
"USW00014609","2017-02-07","2.0","1.3",,,,"-12.1","-28.2"
"USW00014609","2017-02-08","1.8","9.7",,,,"0.6","-13.2"
"USW00014609","2017-02-09","5.7","0.5",,,,"-4.3","-16.0"
"USW00014609","2017-02-10","5.1","0.0",,,,"-12.7","-22.1"
"USW00014609","2017-02-11","0.9","0.3",,,,"-13.8","-29.3"
"USW00014609","2017-02-12","2.1","3.3",,,,"-7.7","-29.3"
"USW00014609","2017-02-13","7.9","6.4",,,,"-4.9","-9.3"
"USW00014609","2017-02-14","2.4","0.0",,,,"-4.9","-19.3"
"USW00014609","2017-02-15","2.2","0.0",,,,"-3.8","-23.8"
"USW00014609","2017-02-16","6.1","0.0",,,,"-3.8","-6.6"
"USW00014609","2017-02-17","5.4","0.0",,,,"1.1","-6.6"
"USW00014609","2017-02-18","2.1","0.0",,,,"1.1","-14.3"
"USW00014609","2017-02-19","2.9","0.0",,,,"3.9","-2.1"
"USW00014609","2017-02-20","4.5","0.0",,,,"0.0","-11.0"
"USW00014609","2017-02-21","1.3","0.0",,,,"2.2","-21.6"
"USW00014609","2017-02-22","2.1","0.0",,,,"8.3","-3.8"
"USW00014609","2017-02-23","3.4","0.0",,,,"11.7","-8.8"
"USW00014609","2017-02-24","2.6","0.8",,,,"11.1","1.1"
"USW00014609","2017-02-25","3.0","4.8",,,,"6.7","0.6"
"USW00014609","2017-02-26","5.6","10.2",,,,"7.8","-6.6"
"USW00014609","2017-02-27","4.7","0.0",,,,"5.0","-8.2"
"USW00014609","2017-02-28","1.6","0.0",,,,"5.6","-12.7"
"USW00014609","2017-03-01","2.9","7.9",,,,"7.8","1.1"
"USW00014609","2017-03-02","4.7","3.6",,,,"7.2","-8.8"
"USW00014609","2017-03-03","6.0","0.0",,,,"-6.0","-14.3"
"USW00014609","2017-03-04","6.4","0.0",,,,"-12.7","-19.3"
"USW00014609","2017-03-05","7.5","0.0",,,,"-5.5","-16.0"
"USW00014609","2017-03-06","2.8","0.0",,,,"-2.1","-16.6"
"USW00014609","2017-03-07","3.1","1.5",,,,"0.6","-18.8"
"USW00014609","2017-03-08","2.6","7.6",,,,"5.0","-1.0"
"USW00014609","2017-03-09","6.2","0.0",,,,"2.2","-6.6"
"USW00014609","2017-03-10","5.1","0.0",,,,"-4.9","-16.6"
"USW00014609","2017-03-11","6.0","0.0",,,,"-16.6","-21.6"
"USW00014609","2017-03-12","5.7","0.0",,,,"-7.7","-19.9"
"USW00014609","2017-03-13","2.7","0.0",,,,"-4.3","-14.9"
"USW00014609","2017-03-14","3.8","11.7",,,,"-2.7","-15.5"
"USW00014609","2017-03-15","6.5","0.5",,,,,
"USW00014609","2017-03-16","3.2","0.0",,,,"-4.3","-9.3"
"USW00014609","2017-03-17","3.4","0.0",,,,"-3.2","-9.9"
"USW00014609","2017-03-18","0.8","0.0",,,,"2.8","-16.0"
"USW00014609","2017-03-19","1.7","0.0",,,,"5.6","-17.7"
"USW00014609","2017-03-20","2.5","0.0",,,,"6.1","-12.7"
"USW00014609","2017-03-21","2.3","0.0",,,,"6.7","-7.7"
"USW00014609","2017-03-22","6.0","0.0",,,,"-1.0","-13.2"
"USW00014609","2017-03-23","5.5","0.0",,,,"-4.3","-18.8"
"USW00014609","2017-03-24","2.9","0.0",,,,"-1.6","-20.5"
"USW00014609","2017-03-25","4.2","0.0",,,,"3.3","-6.0"
"USW00014609","2017-03-26","2.0","0.0",,,,"1.7","-13.8"
"USW00014609","2017-03-27","2.7","3.8",,,,"-2.1","-4.3"
"USW00014609","2017-03-28","1.8","2.3",,,,"0.0","-3.2"
"USW00014609","2017-03-29","4.2","0.0",,,,"1.1","-1.0"
"USW00014609","2017-03-30","6.2","0.0",,,,"2.8","-4.3"
"USW00014609","2017-03-31","2.6","0.0",,,,"6.1","-10.5"
"USW00014609","2017-04-01","2.4","0.0",,,,"2.8","-2.7"
"USW00014609","2017-04-02","2.4","0.0",,,,"7.2","-2.7"
"USW00014609","2017-04-03","3.6","0.0",,,,"4.4","-5.5"
"USW00014609","2017-04-04","2.1","0.3",,,,"6.7","-8.2"
