"STATION","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT03","WT05","WT07","WT10","WT11","WT16","WT18"
"USW00014607","2017-01-01","2.0","3.3","18.0","710.0","-4.9","-11.6","    1",,,,,,,
"USW00014607","2017-01-02","1.2","0.0","0.0","710.0","-2.7","-14.3","    1",,,,,,,
"USW00014607","2017-01-03","2.6","0.0","0.0","640.0","-4.9","-16.6","    1",,,,,,,
"USW00014607","2017-01-04","3.4","18.0","165.0","710.0","0.0","-4.9","    1",,,,,,,
"USW00014607","2017-01-05","5.6","0.3","8.0","760.0","0.0","-12.7","    1",,,,,,,
"USW00014607","2017-01-06","2.2","0.0","0.0","740.0","-7.1","-18.8",,,,,,,,
"USW00014607","2017-01-07","1.5","0.0","0.0","740.0","-13.2","-26.6","    1",,,,,,,
"USW00014607","2017-01-08","5.2","0.8","13.0","740.0","-13.8","-20.5",,,,,,,,
"USW00014607","2017-01-09","2.5","0.0","0.0","740.0","-14.9","-26.0",,,,,,,,
"USW00014607","2017-01-10","3.7","0.8","8.0","710.0","0.6","-17.1","    1",,,,,,,
"USW00014607","2017-01-11","8.2","9.1","43.0","710.0","7.2","-1.0","    1",,,,,,,
"USW00014607","2017-01-12","4.0","4.8","0.0","640.0","5.6","2.2","    1",,,,,,,
"USW00014607","2017-01-13","6.9","0.0","5.0","530.0","5.6","-16.6","    1",,,,,,,
"USW00014607","2017-01-14","2.9","0.0","0.0","530.0","-12.7","-22.1",,,,,,,,
"USW00014607","2017-01-15","2.7","0.0","0.0","530.0","-12.7","-22.7",,,,,,,,
"USW00014607","2017-01-16","2.5","0.0","0.0","510.0","-1.6","-24.3",,,,,,,,
"USW00014607","2017-01-17","3.3","0.0","0.0","510.0","-2.7","-15.5",,,,,,,,
"USW00014607","2017-01-18","2.5","0.0","0.0","510.0","-6.6","-18.2",,,,,,,,
"USW00014607","2017-01-19","1.9","4.3","46.0","530.0","-1.0","-7.7","    1",,,,,,,
"USW00014607","2017-01-20","2.0","0.0","0.0","530.0","-0.5","-5.5",,,,,,,,
"USW00014607","2017-01-21","2.1","0.0","0.0","530.0","0.0","-2.7",,,,,,,,
"USW00014607","2017-01-22","3.6","0.0","0.0","530.0","-0.5","-3.2",,,,,,,,
"USW00014607","2017-01-23","2.0","0.0","0.0","530.0","-1.0","-6.6",,,,,,,,
"USW00014607","2017-01-24","5.1","17.3","46.0","530.0","1.1","-7.1","    1",,,,,,,
"USW00014607","2017-01-25","3.6","25.9","58.0","640.0","1.7","-0.5","    1",,,,,,,
"USW00014607","2017-01-26","3.1","2.0","28.0","660.0","0.6","-2.7","    1",,,,,,,
"USW00014607","2017-01-27","4.9","0.3","5.0","660.0","-2.7","-6.6","    1",,,,,,,
"USW00014607","2017-01-28","4.7","0.0","0.0","660.0","-2.1","-7.1",,,,,,,,
"USW00014607","2017-01-29","2.6","0.0","3.0","660.0","1.1","-8.8","    1",,,,,,,
"USW00014607","2017-01-30","2.0","0.8","48.0","660.0","-3.8","-15.5","    1",,,,,,,
"USW00014607","2017-01-31","1.9","0.0","0.0","710.0","-8.2","-21.6",,,,,,,,
"USW00014607","2017-02-01","0.6","1.8","38.0","660.0","-8.2","-24.9","    1",,,,,,,
"USW00014607","2017-02-02","2.5","0.3","5.0","660.0","-4.9","-18.8","    1",,,,,,,
"USW00014607","2017-02-03","2.3","0.0","0.0","660.0","-10.5","-19.3","    1",,,,,,,
"USW00014607","2017-02-04","1.6","0.0","0.0","640.0","-11.0","-25.5","    1",,,,,,,
"USW00014607","2017-02-05","2.3","1.5","18.0","640.0","-4.9","-19.9","    1",,,,,,,
"USW00014607","2017-02-06","5.0","0.0","0.0","640.0","-6.0","-17.7","    1",,,,,,,
"USW00014607","2017-02-07","1.9","1.8","10.0","640.0","-12.7","-22.7","    1",,,,,,,
"USW00014607","2017-02-08","3.2","12.4","97.0","710.0","0.0","-13.8","    1",,,,,,,
"USW00014607","2017-02-09","5.0","4.8","51.0","690.0","-9.3","-18.8",,,,,,,,
"USW00014607","2017-02-10","6.4","0.3","8.0","740.0","-14.3","-22.7",,,,,,,,
