Date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2017-01-01,2.2199999999999998,0.0,0.0,0.0,8.0,12.0,1.78
2017-01-02,3.7,14.919999999999998,0.0,0.0,5.949999999999999,7.659999999999999,3.9799999999999995
2017-01-03,2.66,13.86,0.0,0.0,7.3500000000000005,8.9,6.0
2017-01-04,4.6,0.06,0.0,0.0,8.75,12.9,1.3599999999999999
2017-01-05,2.2800000000000002,0.1,3.0,0.0,1.0,2.56,-3.0200000000000005
2017-01-06,3.84,0.24,3.0,0.0,-0.04999999999999999,0.82,-3.12
2017-01-07,5.5600000000000005,5.68,13.0,0.0,-4.3,-2.46,-7.58
2017-01-08,5.76,0.0,0.0,0.0,-7.75,-5.14,-10.02
2017-01-09,2.3,0.0,0.0,0.0,-8.7,-3.6399999999999997,-12.68
2017-01-10,2.92,0.76,0.0,0.0,-5.95,5.68,-10.360000000000001
2017-01-11,3.8,4.9,0.0,0.0,7.199999999999999,11.879999999999999,3.3200000000000003
2017-01-12,5.7,0.26,0.0,0.0,14.2,20.22,8.22
2017-01-13,4.0600000000000005,0.0,0.0,0.0,13.2,17.02,4.359999999999999
2017-01-14,2.56,6.82,0.0,0.0,2.8,4.8,0.27999999999999997
2017-01-15,1.8800000000000001,0.0,0.0,0.0,2.8499999999999996,6.44,0.7
2017-01-16,1.46,0.0,0.0,0.0,3.05,5.779999999999999,-0.5
2017-01-17,2.1,3.0799999999999996,0.0,0.0,5.75,9.1,3.6400000000000006
2017-01-18,3.5,0.12,0.0,0.0,10.1,12.680000000000001,6.2
2017-01-19,1.7,0.0,0.0,0.0,8.0,10.120000000000001,1.1199999999999999
2017-01-20,1.04,1.16,0.0,0.0,3.6500000000000004,8.0,0.24000000000000005
2017-01-21,1.28,0.06,0.0,0.0,8.0,8.88,6.220000000000001
2017-01-22,3.66,3.7399999999999998,0.0,0.0,8.649999999999999,10.66,7.0
2017-01-23,8.3,17.46,0.0,0.0,8.15,9.9,4.319999999999999
2017-01-24,6.04,0.27999999999999997,0.0,0.0,5.35,8.42,3.34
2017-01-25,3.12,0.0,0.0,0.0,8.5,14.88,4.220000000000001
2017-01-26,5.26,0.3,0.0,0.0,9.1,14.559999999999999,4.779999999999999
2017-01-27,5.32,0.0,0.0,0.0,4.8,6.659999999999999,1.2399999999999998
2017-01-28,3.6,0.0,0.0,0.0,2.9,7.340000000000001,-0.18000000000000002
2017-01-29,2.6,0.0,0.0,0.0,2.2,7.340000000000001,-1.48
2017-01-30,3.62,1.58,0.0,0.0,1.6,3.7600000000000002,-3.8
2017-01-31,3.2,0.0,0.0,0.0,1.6,10.9,-4.34
2017-02-01,1.8399999999999999,0.0,0.0,0.0,3.6500000000000004,8.559999999999999,-0.38
2017-02-02,2.9,0.06,0.0,0.0,5.5,9.440000000000001,0.58
2017-02-03,3.5,0.0,0.0,0.0,0.9,2.5599999999999996,-2.9
2017-02-04,3.5799999999999996,0.0,0.0,0.0,-1.3,3.3200000000000003,-5.9
2017-02-05,3.12,0.0,0.0,0.0,2.2,10.22,-1.58
2017-02-06,2.3400000000000003,0.0,0.0,0.0,4.9,13.780000000000001,-1.8199999999999998
2017-02-07,4.46,1.34,0.0,0.0,11.65,18.1,5.24
2017-02-08,3.3600000000000003,0.06,0.0,0.0,17.4,20.98,9.24
2017-02-09,7.68,9.1,0.0,0.0,5.6,10.239999999999998,-3.78
2017-02-10,4.3,0.0,0.0,0.0,-2.2,2.88,-5.58
2017-02-11,2.5,0.0,0.0,0.0,5.8,13.559999999999999,1.46
2017-02-12,3.62,4.18,0.0,0.0,8.9,13.439999999999998,5.12
2017-02-13,7.44,0.0,0.0,0.0,5.35,7.32,-0.9400000000000001
2017-02-14,2.32,0.0,0.0,0.0,1.35,7.659999999999999,-3.34
2017-02-15,4.18,3.2,0.0,0.0,3.95,10.540000000000001,0.4800000000000001
2017-02-16,6.2,0.0,0.0,0.0,1.95,4.08,-1.92
2017-02-17,2.06,0.0,0.0,0.0,1.05,9.42,-4.359999999999999
2017-02-18,2.62,0.0,0.0,0.0,7.050000000000001,19.119999999999997,-1.48
2017-02-19,3.6,0.0,0.0,0.0,15.65,20.8,10.2
2017-02-20,3.02,0.0,0.0,0.0,12.25,16.56,3.1399999999999997
2017-02-21,2.7800000000000002,0.0,0.0,0.0,6.85,12.0,2.1
2017-02-22,1.8399999999999999,0.0,0.0,0.0,9.45,16.0,5.12
2017-02-23,3.04,0.12,0.0,0.0,14.950000000000001,22.419999999999998,9.32
2017-02-24,3.6,0.0,0.0,0.0,15.85,22.419999999999998,9.22
2017-02-25,4.92,7.94,0.0,0.0,16.049999999999997,20.919999999999998,6.88
2017-02-26,4.5,0.0,0.0,0.0,5.9,8.46,-1.12
2017-02-27,2.06,0.0,0.0,0.0,4.05,12.440000000000001,-2.12
2017-02-28,2.0,9.18,0.0,0.0,12.05,17.660000000000004,5.54
2017-03-01,5.84,2.96,0.0,0.0,17.05,23.68,11.34
