"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00094017","2017-01-01","5.8","0.0",,"0.0",,"-4.9","-12.7"
"USW00094017","2017-01-02","5.1","0.0",,"0.0",,"-11.6","-22.1"
"USW00094017","2017-01-03","3.4","0.0",,"0.0",,"-19.3","-29.3"
"USW00094017","2017-01-04","3.8","0.0",,"0.0",,"-13.8","-24.3"
"USW00094017","2017-01-05","2.9","0.0","0.0","0.0",,"-14.9","-21.0"
"USW00094017","2017-01-06","1.4","0.3",,"0.0",,"-14.9","-26.0"
"USW00094017","2017-01-07","3.3","0.0","0.0","0.0",,"-18.2","-28.8"
"USW00094017","2017-01-08","3.4","0.0","0.0","0.0",,"-12.1","-21.6"
"USW00094017","2017-01-09","5.1","2.0",,"0.0",,"-10.5","-15.5"
"USW00094017","2017-01-10","4.6","0.3",,"0.0",,"-14.3","-22.7"
"USW00094017","2017-01-11","3.5","0.0","0.0","0.0",,"-16.0","-31.0"
"USW00094017","2017-01-12","3.7","0.0",,"0.0",,"-16.0","-27.7"
"USW00094017","2017-01-13","2.8","0.0","0.0","0.0",,"-16.0","-31.0"
"USW00094017","2017-01-14","0.8","0.0","0.0","0.0",,"-16.0","-28.8"
"USW00094017","2017-01-15","2.2","0.0","0.0","0.0",,"-9.3","-25.5"
"USW00094017","2017-01-16","2.8","0.0","0.0","0.0",,"-7.7","-19.3"
"USW00094017","2017-01-17","0.8","0.0","0.0","0.0",,"0.0","-21.0"
"USW00094017","2017-01-18","1.1","0.0","0.0","0.0",,"3.9","-11.0"
"USW00094017","2017-01-19","1.1","0.0","0.0","0.0",,"-0.5","-12.1"
"USW00094017","2017-01-20","2.8","0.0","0.0","0.0",,"2.8","-11.0"
"USW00094017","2017-01-21","3.7","0.0","0.0","0.0",,"-1.6","-13.2"
"USW00094017","2017-01-22","3.2","0.0","0.0","0.0",,"0.6","-8.2"
"USW00094017","2017-01-23","2.2","0.3",,"0.0",,"-1.0","-5.5"
"USW00094017","2017-01-24","2.6","0.0",,"0.0",,"-4.3","-13.2"
"USW00094017","2017-01-25","2.4","0.0",,"0.0",,"-6.6","-17.7"
"USW00094017","2017-01-26","4.3","0.0","0.0","0.0",,"-6.6","-16.6"
"USW00094017","2017-01-27","6.6","0.0","0.0","0.0",,"0.6","-9.9"
"USW00094017","2017-01-28","6.5","0.0","0.0","0.0",,"3.3","-2.1"
"USW00094017","2017-01-29","4.4","0.0","0.0","0.0",,"4.4","-1.6"
"USW00094017","2017-01-30","7.6","0.0","0.0","0.0",,"5.0","-1.0"
"USW00094017","2017-01-31","5.6","0.0",,"0.0",,"0.0","-8.2"
"USW00094017","2017-02-01","5.5","0.0",,"0.0",,"-6.6","-16.6"
"USW00094017","2017-02-02","2.6","0.0","0.0","0.0",,"-10.5","-25.5"
"USW00094017","2017-02-03","2.7","0.0","0.0","0.0",,"-7.1","-24.9"
"USW00094017","2017-02-04","2.9","0.5",,"0.0",,"-7.7","-12.1"
"USW00094017","2017-02-05","4.5","0.0",,"0.0",,"-9.3","-12.7"
"USW00094017","2017-02-06","6.0","0.8",,"0.0",,"-12.1","-15.5"
"USW00094017","2017-02-07","1.7","0.0",,"0.0",,"-13.8","-30.5"
"USW00094017","2017-02-08","3.1","0.0","0.0","0.0",,"-16.6","-30.5"
"USW00094017","2017-02-09","2.8","0.0","0.0","0.0",,"-1.6","-24.3"
"USW00094017","2017-02-10","3.1","0.0","0.0","0.0",,"7.2","-6.0"
"USW00094017","2017-02-11","4.8","0.0","0.0","0.0",,"4.4","-8.8"
"USW00094017","2017-02-12","1.9","0.0","0.0","0.0",,"3.3","-11.6"
"USW00094017","2017-02-13","4.1","0.0","0.0","0.0",,"4.4","-7.1"
"USW00094017","2017-02-14","2.2","0.0","0.0","0.0",,"4.4","-6.6"
"USW00094017","2017-02-15","1.4","0.0","0.0","0.0",,"7.2","-10.5"
"USW00094017","2017-02-16","1.3","0.0","0.0","0.0",,"9.4","-5.5"
"USW00094017","2017-02-17","3.6","0.0","0.0","0.0",,"8.3","-3.2"
"USW00094017","2017-02-18","4.0","0.0","0.0","0.0",,"2.8","-4.9"
"USW00094017","2017-02-19","3.8","0.0","0.0","0.0",,"1.7","-0.5"
"USW00094017","2017-02-20","2.2","0.5",,"0.0",,"10.6","-1.6"
"USW00094017","2017-02-21","1.4","1.3",,"0.0",,"6.1","-3.8"
"USW00094017","2017-02-22","2.3","1.3",,"0.0",,"2.2","-4.3"
"USW00094017","2017-02-23","3.2","0.0",,"0.0",,"-1.0","-5.5"
"USW00094017","2017-02-24","2.2","1.3",,"0.0",,"0.0","-4.3"
"USW00094017","2017-02-25","2.6","0.0",,"0.0",,"0.0","-14.3"
"USW00094017","2017-02-26","2.0","0.0",,"0.0",,"-1.6","-12.1"
"USW00094017","2017-02-27","4.4","0.3",,"0.0",,"-7.1","-14.9"
"USW00094017","2017-02-28","3.3","0.0",,"0.0",,"1.7","-16.0"
"USW00094017","2017-03-01","2.6","0.0",,"0.0",,"-1.0","-13.8"
"USW00094017","2017-03-02","2.9","0.0","0.0","0.0",,"-2.7","-13.8"
"USW00094017","2017-03-03","2.5","0.0","0.0","0.0",,"10.0","-3.2"
"USW00094017","2017-03-04","2.3","0.0",,"0.0",,"10.0","-2.7"
"USW00094017","2017-03-05","4.5","0.3",,"0.0",,"11.1","-1.6"
"USW00094017","2017-03-06","7.7","2.8",,"0.0",,"1.1","-7.7"
"USW00094017","2017-03-07","10.4","0.0",,"0.0",,"-1.0","-8.8"
"USW00094017","2017-03-08","4.1","0.0","0.0","0.0",,"-5.5","-11.0"
"USW00094017","2017-03-09","5.3","0.0",,"0.0",,"-7.7","-13.2"
"USW00094017","2017-03-10","7.8","0.0",,"0.0",,"-11.0","-15.5"
"USW00094017","2017-03-11","4.9","0.0",,"0.0",,"-7.7","-18.2"
"USW00094017","2017-03-12","6.0","0.3",,"0.0",,"-8.8","-18.2"
"USW00094017","2017-03-13","4.5","0.0",,"0.0",,"-5.5","-20.5"
"USW00094017","2017-03-14","3.5","0.0",,"0.0",,"0.0","-10.5"
"USW00094017","2017-03-15","1.6","0.0","0.0","0.0",,"8.3","-3.2"
"USW00094017","2017-03-16","3.7","0.3",,"0.0",,"13.3","1.7"
"USW00094017","2017-03-17","2.7","0.0","0.0","0.0",,"7.2","0.6"
"USW00094017","2017-03-18","3.2","0.0","0.0","0.0",,"21.7","0.6"
"USW00094017","2017-03-19","4.9","0.0","0.0","0.0",,"12.8","1.7"
"USW00094017","2017-03-20","4.2","0.0",,"0.0",,"9.4","-3.8"
"USW00094017","2017-03-21","5.8","0.0","0.0","0.0",,"6.1","-4.3"
"USW00094017","2017-03-22","2.3","0.0","0.0","0.0",,"16.1","1.1"
"USW00094017","2017-03-23","2.1","0.0","0.0","0.0",,"20.0","0.6"
"USW00094017","2017-03-24","2.7","0.0","0.0","0.0",,"20.0","-1.6"
"USW00094017","2017-03-25","3.3","0.0","0.0","0.0",,"17.2","3.3"
"USW00094017","2017-03-26","2.7","0.0","0.0","0.0",,"16.1","-2.1"
"USW00094017","2017-03-27","4.1","0.0",,"0.0",,"15.6","-0.5"
"USW00094017","2017-03-28","2.0","0.0","0.0","0.0",,"13.9","1.7"
"USW00094017","2017-03-29","3.1","0.0","0.0","0.0",,"16.7","0.0"
"USW00094017","2017-03-30","2.6","0.0","0.0","0.0",,"20.0","3.3"
"USW00094017","2017-03-31","4.7","0.0",,"0.0",,"8.9","5.6"
"USW00094017","2017-04-01","4.1","0.0","0.0","0.0",,"17.8","5.6"
"USW00094017","2017-04-02","4.2","0.0","0.0","0.0",,"16.1","4.4"
"USW00094017","2017-04-03","3.4","14.7",,"0.0",,"13.3","2.8"
"USW00094017","2017-04-04","2.8","0.5",,"0.0",,"13.9","-1.6"
"USW00094017","2017-04-05","3.6","0.0","0.0","0.0",,"15.6","-3.8"
"USW00094017","2017-04-06","4.1","0.0","0.0","0.0",,"22.2","4.4"
"USW00094017","2017-04-07","3.0","0.0","0.0","0.0",,"27.2","3.9"
"USW00094017","2017-04-08","4.5","0.0","0.0","0.0",,"20.0","6.1"
"USW00094017","2017-04-09","5.6","0.0","0.0","0.0",,"8.9","-1.0"
"USW00094017","2017-04-10","3.2","0.0","0.0","0.0",,"12.8","-1.0"
"USW00094017","2017-04-11","4.6","0.0",,"0.0",,"15.6","-2.1"
"USW00094017","2017-04-12","1.7","0.0","0.0","0.0",,"16.1","-2.7"
"USW00094017","2017-04-13","7.0","0.0","0.0","0.0",,"24.4","3.3"
"USW00094017","2017-04-14","6.6","0.0","0.0","0.0",,"17.8","0.0"
"USW00094017","2017-04-15","5.8","0.0",,"0.0",,"13.9","-0.5"
"USW00094017","2017-04-16","4.4","0.0","0.0","0.0",,"6.7","-7.1"
"USW00094017","2017-04-17","5.4","0.0","0.0","0.0",,"14.4","-7.7"
"USW00094017","2017-04-18","2.0","0.0","0.0","0.0",,"18.3","-2.7"
"USW00094017","2017-04-19","3.4","6.1",,"0.0",,"11.7","3.9"
"USW00094017","2017-04-20","2.6","0.0","0.0","0.0",,"17.2","2.2"
"USW00094017","2017-04-21","2.7","0.0","0.0","0.0",,"20.6","0.6"
"USW00094017","2017-04-22","4.6","0.0",,"0.0",,"12.8","4.4"
"USW00094017","2017-04-23","8.7","0.3",,"0.0",,"6.7","0.6"
"USW00094017","2017-04-24","5.3","0.8",,"0.0",,"5.0","-0.5"
"USW00094017","2017-04-25","5.1","0.0","0.0","0.0",,"7.8","-0.5"
"USW00094017","2017-04-26","3.5","0.0","0.0","0.0",,"12.2","-0.5"
"USW00094017","2017-04-27","4.8","0.0","0.0","0.0",,"13.9","-2.7"
"USW00094017","2017-04-28","2.5","0.0","0.0","0.0",,"15.0","-1.6"
"USW00094017","2017-04-29","1.7","0.0",,"0.0",,"17.8","-1.6"
"USW00094017","2017-04-30","3.4","0.0",,"0.0",,"20.6","-1.6"
"USW00094017","2017-05-01","6.4","0.5",,"0.0",,"13.9","0.6"
"USW00094017","2017-05-02","3.7","4.1",,,,"15.0","-0.5"
"USW00094017","2017-05-03","3.6","0.0","0.0","0.0",,"18.3","1.1"
"USW00094017","2017-05-04","2.6","0.0","0.0","0.0",,"27.2","0.6"
"USW00094017","2017-05-05","2.6","0.0","0.0","0.0",,"31.1","5.6"
"USW00094017","2017-05-06","4.4","0.0","0.0","0.0",,"31.1","11.7"
"USW00094017","2017-05-07","5.7","0.0","0.0",,,"28.3","12.2"
"USW00094017","2017-05-08","5.9","0.0","0.0","0.0",,"19.4","3.9"
