Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,4.266666666666667,1.8333333333333333,47.75,95.0,-7.7,-17.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,2.3833333333333333,0.9833333333333333,28.0,140.0,-14.35,-23.416666666666668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,1.8,0.0,0.0,152.5,-16.666666666666668,-26.46666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,2.8833333333333333,0.049999999999999996,2.0,152.5,-15.166666666666666,-25.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,3.8833333333333333,0.0,0.0,147.5,-16.216666666666665,-27.016666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,3.0666666666666664,0.13333333333333333,3.75,135.0,-11.466666666666667,-21.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,2.3666666666666667,0.7333333333333333,10.75,132.5,-11.85,-23.133333333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,2.5166666666666666,1.2666666666666666,15.25,132.5,-9.0,-16.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,3.716666666666667,1.7833333333333334,60.5,160.0,-3.6666666666666665,-13.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,3.5500000000000003,1.1500000000000001,31.75,177.5,-7.683333333333334,-19.166666666666668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,2.5833333333333335,0.7666666666666666,9.0,187.5,-15.450000000000001,-22.583333333333332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,3.25,0.049999999999999996,0.0,177.5,-11.833333333333334,-23.883333333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,3.5666666666666664,0.0,0.0,177.5,-10.0,-21.566666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,3.8499999999999996,0.0,0.0,157.5,-9.35,-21.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,3.9166666666666665,0.0,0.0,152.5,-6.666666666666667,-18.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,4.1000000000000005,0.0,0.0,147.5,-5.833333333333333,-18.033333333333335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,5.083333333333334,0.0,0.0,135.0,0.7000000000000001,-12.683333333333335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18,4.416666666666667,0.0,0.0,107.5,5.55,-7.883333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19,3.25,0.049999999999999996,0.0,90.0,4.066666666666666,-4.283333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-20,2.9499999999999997,0.13333333333333333,0.0,82.5,2.6833333333333336,-9.266666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-21,2.466666666666667,0.0,0.0,77.5,-0.7000000000000001,-13.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-22,2.6,0.21666666666666667,2.0,77.5,0.3333333333333333,-10.733333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-23,2.1666666666666665,0.43333333333333335,15.25,77.5,-3.5,-11.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-24,2.2333333333333334,0.09999999999999999,4.5,82.5,-4.533333333333333,-13.700000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-25,2.2666666666666666,0.049999999999999996,0.0,90.0,-4.083333333333333,-12.583333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
