"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014745","2017-01-01","3.0","0.5","5.0","360.0","1.6","5.6","-7.7"
"USW00014745","2017-01-02","0.1","0.0","0.0","330.0","-5.8","2.2","-12.7"
"USW00014745","2017-01-03","2.6","16.0","0.0","330.0","0.4","3.3","-2.1"
"USW00014745","2017-01-04","3.7","3.3","0.0","250.0","3.5","7.8","-1.0"
"USW00014745","2017-01-05","4.7","0.3","5.0","250.0","-1.6","0.0","-5.5"
"USW00014745","2017-01-06","1.7","0.3","5.0","280.0","-4.1","-2.1","-12.7"
"USW00014745","2017-01-07","1.5","2.8","36.0","250.0","-10.2","-7.1","-14.3"
"USW00014745","2017-01-08","3.2","0.0","0.0","300.0","-10.0","-6.6","-18.2"
"USW00014745","2017-01-09","1.7","0.0","0.0","280.0","-12.8","-7.1","-20.5"
"USW00014745","2017-01-10","1.7","0.8","5.0","280.0","-10.9","3.9","-18.8"
"USW00014745","2017-01-11","4.3","4.3","0.0","250.0","5.8","11.7","0.6"
"USW00014745","2017-01-12","2.6","1.8","0.0","230.0","6.5","13.3","3.3"
"USW00014745","2017-01-13","6.1","0.0","0.0","200.0","6.3","11.1","-7.1"
"USW00014745","2017-01-14","1.5","0.0","0.0","200.0","-7.1","-2.1","-12.1"
"USW00014745","2017-01-15","2.1","0.0","0.0","200.0","-5.5","1.1","-12.1"
"USW00014745","2017-01-16","0.9","0.0","0.0","180.0","-6.1","4.4","-13.8"
"USW00014745","2017-01-17","1.1","7.6","89.0","180.0","-2.5","6.1","-9.9"
"USW00014745","2017-01-18","2.6","4.1","46.0","300.0","-0.1","0.6","-2.1"
"USW00014745","2017-01-19","0.9","0.0","0.0","300.0","-0.3","4.4","-3.2"
"USW00014745","2017-01-20","0.5","0.0","0.0","280.0","-0.9","2.8","-6.6"
"USW00014745","2017-01-21","0.6","0.0","0.0","280.0","2.5","7.2","0.0"
"USW00014745","2017-01-22","1.7","0.3","0.0","250.0","1.8","4.4","-1.0"
"USW00014745","2017-01-23","4.8","2.8","8.0","230.0","0.2","1.1","-1.0"
