Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,3.7400000000000007,0.26,0.6,22.0,4.32,-3.1399999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,3.0,0.82,0.0,16.0,3.44,-4.5600000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,3.7600000000000002,13.76,0.0,16.0,4.779999999999999,2.2199999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,6.68,1.1199999999999999,2.2,0.0,6.459999999999999,-4.720000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,5.32,0.96,19.2,0.0,-2.8,-7.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,3.56,0.1,6.2,22.0,-4.7,-10.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,3.7,1.18,31.6,12.0,-6.34,-12.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,5.7,0.7,19.4,38.0,-6.68,-12.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,4.220000000000001,0.0,0.0,36.0,-4.680000000000001,-13.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,5.7,2.7399999999999998,3.2,28.0,3.9,-9.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,6.4799999999999995,3.6799999999999997,0.0,0.0,9.66,2.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,5.04,8.34,0.0,0.0,12.559999999999999,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,5.5,0.0,0.0,0.0,5.340000000000001,-4.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,1.94,0.6,8.2,0.0,-2.1399999999999997,-7.340000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,2.5,0.06,0.6,6.0,0.82,-7.220000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,2.18,0.0,0.0,6.0,3.9199999999999995,-7.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,3.08,13.919999999999998,0.0,0.0,4.5600000000000005,-1.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
