Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,2.225,0.0,0.0,7.5,5.0,-4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,3.5250000000000004,1.075,0.0,0.0,7.65,-0.9249999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,3.425,22.175,0.0,0.0,8.175,4.15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,8.875,1.35,0.0,0.0,4.3,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,5.325,2.275,44.0,0.0,-6.725,-12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,3.275,0.075,1.25,40.0,-9.200000000000001,-16.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,4.45,0.275,5.25,40.0,-8.9,-17.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,4.875,0.325,12.0,45.0,-8.225,-13.225000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,4.825,0.275,5.25,40.0,-1.975,-11.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,8.4,10.8,22.25,47.5,9.3,-2.825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,6.35,2.675,0.0,0.0,14.15,0.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,5.325,36.05,0.0,0.0,16.5,0.175,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,3.725,0.0,0.0,0.0,0.04999999999999999,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,2.0,0.0,0.0,0.0,0.8500000000000001,-4.475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,0.75,0.0,0.0,0.0,0.8500000000000001,-7.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,2.175,1.3,0.0,0.0,3.725,-6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,5.6,13.85,0.0,0.0,15.0,3.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
