Date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2017-01-01,3.6999999999999997,0.0,0.0,0.0,4.1,14.04375,-2.25
2017-01-02,3.45,0.45,0.0,0.0,11.7,18.15625,4.53125
2017-01-03,6.5625,0.0,0.0,0.0,3.85,7.85,-3.13125
2017-01-04,4.11875,0.0,0.0,0.0,-3.625,2.23125,-6.875
2017-01-05,6.61875,0.24375,0.6,0.0,-5.2,-2.725,-8.4375
2017-01-06,3.3875,1.29375,11.5,36.0,-8.475,-6.05,-16.70625
2017-01-07,2.15,0.0,0.0,10.0,-9.475,1.78125,-18.225
2017-01-08,4.95625,0.0,0.0,0.0,-2.25,7.125,-8.83125
2017-01-09,6.20625,0.0,0.0,0.0,2.9749999999999996,15.9625,-3.1625
2017-01-10,5.3625,0.0,0.0,0.0,15.275,20.5,4.0125
2017-01-11,6.5875,0.0,0.0,0.0,13.175,25.38125,1.99375
2017-01-12,5.58125,0.01875,0.0,0.0,3.125,12.15625,-4.3625
2017-01-13,4.49375,2.68125,0.0,0.0,-1.4,0.9812500000000001,-2.3125
2017-01-14,3.6812500000000004,13.36875,0.0,0.0,-1.2,0.7375,-1.625
2017-01-15,3.32,23.275,0.0,0.0,0.825,6.6,0.3875
2017-01-16,4.706666666666666,4.2375,0.0,0.0,5.725,11.253333333333334,2.3666666666666667
2017-01-17,2.49375,0.5375,0.0,0.0,5.25,11.7,0.31875
2017-01-18,2.78125,0.01875,0.0,0.0,6.975,11.9875,2.5
2017-01-19,4.225,0.0,0.0,0.0,9.525,15.08125,4.8375
2017-01-20,5.03125,0.0,0.0,0.0,9.8,19.69375,4.14375
2017-01-21,2.775,0.31875,0.0,0.0,9.0,17.1875,1.0
2017-01-22,6.21875,7.2875,0.0,0.0,9.875,14.637500000000001,1.8312499999999998
2017-01-23,3.75625,0.0,0.0,0.0,5.6,17.0875,-2.6
2017-01-24,6.175,0.0,0.0,0.0,12.0,23.05625,3.73125
2017-01-25,5.325,0.0,0.0,0.0,5.025,8.64375,-1.5999999999999999
2017-01-26,3.475,0.0,0.0,0.0,0.4,7.18125,-5.16875
2017-01-27,4.28125,0.0,0.0,0.0,1.1,9.8625,-5.28125
2017-01-28,4.56875,0.0,0.0,0.0,3.65,12.5375,-2.4375
2017-01-29,4.425,0.0,0.0,0.0,7.95,18.9625,0.55
2017-01-30,3.21875,0.0,0.0,0.0,9.1,23.45625,-1.425
2017-01-31,2.675,0.0,0.0,0.0,10.425,21.775,0.27499999999999997
2017-02-01,6.59375,0.0,0.0,0.0,7.375,14.13125,1.54375
2017-02-02,6.275,0.0,0.0,0.0,0.95,4.38125,-2.84375
2017-02-03,3.93125,0.0,0.0,0.0,-0.625,6.35,-4.9437500000000005
2017-02-04,5.43125,0.0,0.0,0.0,3.525,13.26875,-2.8625
2017-02-05,2.79375,0.0,0.0,0.0,6.475,16.04375,-0.1750000000000001
2017-02-06,5.65,0.03125,0.0,0.0,12.575,25.1375,5.88125
2017-02-07,3.275,0.0,0.0,0.0,14.95,23.64375,4.85625
2017-02-08,6.35,0.0,0.0,0.0,5.75,10.84375,-2.53125
2017-02-09,4.275,0.0,0.0,0.0,0.7749999999999999,13.09375,-5.225
2017-02-10,7.56875,0.0,0.0,0.0,13.575000000000001,26.55625,6.08125
2017-02-11,5.1375,0.0,0.0,0.0,20.325,31.64375,11.01875
2017-02-12,7.69375,0.0,0.0,0.0,13.35,17.44375,5.93125
2017-02-13,3.125,17.60625,0.0,0.0,6.85,10.8,3.0
2017-02-14,4.35625,11.53125,0.0,0.0,5.15,6.91875,2.88125
2017-02-15,3.25,0.0,0.0,0.0,5.65,13.55625,-0.33749999999999997
2017-02-16,4.4625,0.0,0.0,0.0,9.05,20.69375,-0.050000000000000044
2017-02-17,4.71875,0.0,0.0,0.0,12.375,20.8375,3.7312499999999997
2017-02-18,3.025,0.0,0.0,0.0,13.375,20.55,6.3187500000000005
2017-02-19,4.46875,11.54375,0.0,0.0,13.075,23.0,7.425
2017-02-20,4.0375,5.1375,0.0,0.0,15.95,19.83125,8.19375
2017-02-21,3.0875,0.0,0.0,0.0,12.875,23.6,5.30625
2017-02-22,3.1875,0.0,0.0,0.0,14.5,27.56875,3.9187499999999997
2017-02-23,5.6625,0.0,0.0,0.0,17.875,30.06875,7.60625
2017-02-24,6.54375,0.0,0.0,0.0,8.95,13.4375,-0.65
2017-02-25,3.28125,0.0,0.0,0.0,0.625,9.425,-5.80625
2017-02-26,3.6375,0.0,0.0,0.0,6.025,14.71875,0.0062500000000000056
2017-02-27,4.9437500000000005,0.0,0.0,0.0,10.125,22.7,1.93125
2017-02-28,6.65,0.0,0.0,0.0,17.65,23.56875,11.5375
2017-03-01,5.1625,0.56875,0.0,0.0,11.299999999999999,17.65,0.07499999999999998
2017-03-02,2.29375,0.0,0.0,0.0,6.5249999999999995,17.59375,-3.5812500000000003
2017-03-03,4.8125,0.0,0.0,0.0,9.774999999999999,20.8875,-1.01875
2017-03-04,7.2875,0.0,0.0,0.0,12.875,20.25,5.3375
2017-03-05,8.23125,0.01875,0.0,0.0,14.05,19.0,11.2875
2017-03-06,9.0875,2.0625,0.0,0.0,18.8,27.05,10.8625
2017-03-07,3.6937499999999996,0.91875,0.0,0.0,12.825,18.38125,1.23125
2017-03-08,4.925,0.0,0.0,0.0,11.7,23.90625,1.1437499999999998
2017-03-09,5.06875,0.1125,0.0,0.0,18.225,28.60625,9.55
2017-03-10,5.95625,0.0,0.0,0.0,11.375,16.15,5.31875
2017-03-11,5.11875,3.59375,0.0,0.0,7.3,11.0125,1.46875
2017-03-12,3.31875,0.2125,0.0,0.0,2.425,9.93125,-1.3625
2017-03-13,5.26875,0.325,0.0,0.0,5.675,10.0,0.03125
2017-03-14,3.55,0.0,0.0,0.0,3.3,11.875,-2.225
2017-03-15,4.29375,0.0,0.0,0.0,4.2,15.2125,-1.45
2017-03-16,6.64375,0.0,0.0,0.0,12.775,24.6875,5.34375
2017-03-17,4.14375,0.0,0.0,0.0,18.95,27.00625,12.66875
2017-03-18,3.9875,0.0,0.0,0.0,17.125,27.46875,9.59375
2017-03-19,6.18125,0.0,0.0,0.0,22.4,31.7,14.55
2017-03-20,5.28125,0.0,0.0,0.0,24.1,33.11875,15.7625
2017-03-21,5.1875,0.0,0.0,0.0,20.375,26.86875,12.356250000000001
2017-03-22,5.425,0.0,0.0,0.0,14.775,21.4,10.9125
2017-03-23,9.075,0.425,0.0,0.0,18.7,29.23125,13.25625
2017-03-24,7.7125,2.93125,0.0,0.0,20.7,23.58125,12.13125
2017-03-25,4.575,1.425,0.0,0.0,11.95,17.4625,7.225
2017-03-26,4.825,2.9124999999999996,0.0,0.0,12.325,23.8,4.3125
2017-03-27,3.95,0.3625,0.0,0.0,14.2,20.2125,8.51875
2017-03-28,5.5375,35.44375,0.0,0.0,12.55,20.3125,8.4625
2017-03-29,5.96875,12.96875,0.0,0.0,13.700000000000001,17.6375,8.293750000000001
2017-03-30,4.8625,0.01875,0.0,0.0,9.875,17.00625,6.18125
2017-03-31,5.1875,0.0625,0.0,0.0,10.175,18.23125,5.175
2017-04-01,5.26875,7.08125,0.0,0.0,12.1,19.725,7.78125
2017-04-02,3.0875,8.63125,0.0,0.0,12.75,16.0,10.9
2017-04-03,3.26875,3.58125,0.0,0.0,14.7,23.29375,8.71875
2017-04-04,6.0375,5.675,7.285714285714286,0.0,13.225,19.3125,7.54375
2017-04-05,6.3625,0.375,0.0,0.0,11.15,18.475,5.51875
2017-04-06,2.5625,0.0,0.0,0.0,11.5,21.11875,2.31875
2017-04-07,5.16875,0.0,0.0,0.0,14.1,24.6375,5.10625
2017-04-08,7.55625,0.0,0.0,0.0,20.55,29.33125,13.30625
2017-04-09,7.59375,0.0,0.0,0.0,22.475,28.68125,16.90625
2017-04-10,5.05625,0.0,0.0,0.0,19.474999999999998,23.49375,10.2375
2017-04-11,3.4812499999999997,0.0,0.0,0.0,14.1,23.33125,6.31875
2017-04-12,4.43125,0.03125,0.0,0.0,16.75,25.2375,10.73125
2017-04-13,3.55,18.86875,0.0,0.0,18.55,23.9125,13.81875
2017-04-14,6.7125,0.975,0.0,0.0,20.175,27.23125,15.98125
2017-04-15,7.1,0.0625,0.0,0.0,22.2,28.1125,17.05
2017-04-16,4.44375,10.06875,0.0,0.0,21.4,25.413333333333334,15.933333333333334
2017-04-17,3.1125000000000003,7.9375,0.0,0.0,18.625,22.95,14.29375
2017-04-18,4.36875,0.0,0.0,0.0,18.9,27.6,12.60625
2017-04-19,6.8374999999999995,0.0,0.0,0.0,21.875,27.75,16.41875
2017-04-20,4.875,1.7,0.0,0.0,20.675,23.3375,16.075
2017-04-21,6.35,36.53125,0.0,0.0,14.0,17.46875,9.19375
2017-04-22,5.83125,0.0375,0.0,0.0,10.200000000000001,15.425,6.98125
2017-04-23,2.975,0.0,0.0,0.0,12.2,21.775,4.33125
2017-04-24,6.34375,0.0,0.0,0.0,15.75,26.04375,7.13125
2017-04-25,6.1125,7.15,0.0,0.0,20.225,28.33125,13.44375
2017-04-26,5.4625,4.14375,0.0,0.0,12.05,16.45625,5.725
2017-04-27,4.525,0.83125,0.0,0.0,11.1,21.3875,3.91875
2017-04-28,4.30625,5.85625,0.0,0.0,17.25,24.96875,12.25625
2017-04-29,7.11875,49.60625,3.5714285714285716,0.0,12.7,17.63125,8.813333333333333
2017-04-30,8.346666666666668,2.9,0.0,18.571428571428573,8.55,12.028571428571428,6.007142857142857
2017-05-01,4.46875,0.0,0.0,0.0,11.525,22.846666666666668,4.642857142857143
2017-05-02,3.79375,1.75625,0.0,0.0,16.45,26.78666666666667,7.246666666666667
2017-05-03,6.83125,9.768749999999999,0.0,0.0,14.775,18.36875,9.68125
2017-05-04,5.14375,0.0,0.0,0.0,13.0,21.95,6.7
2017-05-05,2.40625,0.0,0.0,0.0,15.275,24.99375,6.49375
2017-05-06,2.7125,0.0,0.0,0.0,18.7,29.3,8.68125
2017-05-07,4.36875,0.0,0.0,0.0,21.85,30.49375,12.18125
2017-05-08,4.76875,0.0,0.0,0.0,22.2,28.4,14.40625
2017-05-09,4.2625,0.15625,0.0,0.0,22.15,28.5125,15.35625
2017-05-10,4.5625,12.46875,0.0,0.0,21.725,26.25,16.39375
