Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,3.0,0.06,0.0,16.0,6.9,-1.9200000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,3.1399999999999997,4.22,0.0,10.0,4.32,-2.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,3.5,11.419999999999998,0.0,10.0,5.8,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,6.640000000000001,1.28,3.2,0.0,8.239999999999998,-2.2600000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,4.58,1.5799999999999998,36.0,10.0,-1.48,-5.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,3.62,2.38,53.0,42.0,-3.4799999999999995,-8.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,4.38,2.3,46.6,40.0,-5.54,-9.459999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,6.5,0.0,1.2,40.0,-5.66,-10.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,3.5799999999999996,0.0,0.0,36.0,-4.58,-12.680000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,5.220000000000001,4.5600000000000005,4.2,26.0,3.34,-8.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,4.0,7.0200000000000005,0.0,0.0,9.540000000000001,0.36000000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,4.36,8.8,0.0,0.0,15.66,5.4399999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,4.46,0.0,0.0,0.0,8.780000000000001,-1.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,1.7,0.8800000000000001,4.0,0.0,-0.07999999999999989,-4.0200000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,2.34,0.06,0.6,6.0,2.1399999999999997,-5.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
