Date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2017-01-01,2.7399999999999998,0.36,0.0,100.0,-5.3,-0.18000000000000008,-8.02
2017-01-02,4.8,2.44,173.0,200.0,-4.7,1.5000000000000002,-5.9
2017-01-03,2.44,0.06,15.0,230.0,-4.4,0.9400000000000001,-5.76
2017-01-04,4.08,2.1799999999999997,81.0,180.0,-1.8,4.5600000000000005,-3.8
2017-01-05,4.24,3.2399999999999998,38.0,250.0,-6.7,0.47999999999999987,-13.219999999999999
2017-01-06,2.16,0.0,0.0,230.0,-13.8,-8.0,-21.78
2017-01-07,2.6,0.32,0.0,200.0,-15.6,-5.359999999999999,-20.34
2017-01-08,3.2,2.88,3.0,180.0,-6.3,4.14,-6.56
2017-01-09,5.5200000000000005,2.92,0.0,100.0,6.4,6.9,-0.96
2017-01-10,5.26,0.0,0.0,0.0,4.4,6.12,-2.06
2017-01-11,5.659999999999999,4.18,0.0,0.0,6.0,7.1,0.14000000000000004
2017-01-12,2.62,2.2399999999999998,10.0,0.0,0.9,2.56,-1.8199999999999998
2017-01-13,2.08,0.82,0.0,0.0,-0.1,2.8,-2.94
2017-01-14,2.3,0.16,0.0,0.0,-0.3,2.8,-3.46
2017-01-15,2.84,0.0,0.0,0.0,-1.1,0.8,-3.9200000000000004
2017-01-16,3.02,0.0,0.0,0.0,-2.7,0.8399999999999999,-7.92
2017-01-17,1.7,0.0,0.0,0.0,-4.4,1.14,-10.440000000000001
2017-01-18,2.64,0.0,0.0,0.0,-4.2,2.46,-11.120000000000001
2017-01-19,2.4200000000000004,3.1,28.0,0.0,-2.4,1.58,-6.34
2017-01-20,3.44,1.22,18.0,0.0,0.3,1.8,-5.9
2017-01-21,3.5200000000000005,5.84,155.0,0.0,1.4,1.9,-5.7
2017-01-22,5.4799999999999995,1.7400000000000002,0.0,130.0,-0.2,2.0,-7.220000000000001
2017-01-23,6.119999999999999,5.0600000000000005,15.0,80.0,2.9,3.6799999999999997,-4.0600000000000005
2017-01-24,2.96,0.06,5.0,30.0,-0.4,-0.38,-7.459999999999999
2017-01-25,2.58,0.5599999999999999,41.0,30.0,-2.5,-2.02,-11.78
2017-01-26,2.32,0.2,8.0,80.0,-3.1,-1.6,-14.440000000000001
2017-01-27,2.9,0.0,0.0,80.0,-7.1,-2.9,-15.440000000000001
2017-01-28,2.7800000000000002,0.0,0.0,50.0,-6.9,-0.17999999999999988,-13.9
2017-01-29,1.8399999999999999,0.0,0.0,50.0,-7.1,1.2400000000000002,-12.68
2017-01-30,1.8199999999999998,0.0,0.0,51.0,-6.3,2.1399999999999997,-10.459999999999999
2017-01-31,2.08,0.0,0.0,30.0,-5.4,4.16,-8.92
2017-02-01,2.44,0.0,0.0,30.0,-3.1,4.9799999999999995,-7.9
2017-02-02,2.54,0.42000000000000004,0.0,30.0,-1.7,6.32,-5.14
2017-02-03,2.9,0.0,0.0,30.0,1.3,8.78,-4.56
2017-02-04,2.68,0.16,0.0,0.0,8.3,10.0,-2.1799999999999997
2017-02-05,3.3200000000000003,0.0,0.0,0.0,7.1,10.120000000000001,-2.9200000000000004
2017-02-06,6.1,0.36,0.0,0.0,9.7,9.24,2.12
2017-02-07,6.24,1.48,0.0,0.0,9.6,11.440000000000001,2.04
2017-02-08,3.16,0.6,0.0,0.0,9.8,14.440000000000001,0.8
2017-02-09,4.04,0.26,0.0,0.0,12.8,16.2,0.5000000000000001
2017-02-10,5.84,4.12,0.0,0.0,14.1,15.12,5.34
2017-02-11,3.5,3.8600000000000003,0.0,0.0,4.9,8.66,0.08000000000000007
2017-02-12,2.7800000000000002,0.22000000000000003,0.0,0.0,1.2,5.56,-1.2399999999999998
2017-02-13,2.34,0.0,0.0,0.0,0.4,7.980000000000001,-3.1399999999999997
2017-02-14,2.04,0.0,0.0,0.0,1.0,9.32,-4.88
2017-02-15,1.6199999999999999,0.0,0.0,0.0,2.6,11.120000000000001,-5.46
2017-02-16,3.1399999999999997,0.0,0.0,0.0,5.1,12.86,-5.12
2017-02-17,4.44,1.02,0.0,0.0,6.7,9.440000000000001,0.26000000000000006
2017-02-18,4.2,2.2399999999999998,0.0,0.0,9.2,9.440000000000001,4.0
2017-02-19,3.4799999999999995,4.26,0.0,0.0,9.1,9.0,1.7
2017-02-20,5.96,0.0,0.0,0.0,8.6,10.68,0.23999999999999985
2017-02-21,7.62,3.04,0.0,0.0,12.9,14.440000000000001,2.2399999999999998
2017-02-22,5.34,1.8799999999999997,18.0,0.0,3.7,9.0,-1.5
2017-02-23,4.3,1.3199999999999998,46.0,50.0,-0.3,1.14,-6.779999999999999
2017-02-24,3.12,0.45999999999999996,13.0,30.0,-1.9,0.24000000000000013,-8.9
2017-02-25,2.66,0.0,0.0,30.0,-3.1,1.8200000000000003,-11.24
2017-02-26,4.3,0.0,0.0,0.0,-2.0,4.9,-9.14
2017-02-27,5.86,1.8199999999999998,86.0,0.0,1.8,5.12,-2.48
2017-02-28,3.96,0.06,8.0,30.0,-1.9,3.2399999999999998,-7.019999999999999
2017-03-01,2.2399999999999998,0.0,0.0,0.0,0.3,5.76,-8.22
2017-03-02,2.2600000000000002,0.0,0.0,0.0,2.1,9.66,-7.12
2017-03-03,2.7,0.0,0.0,0.0,4.8,12.78,-6.58
2017-03-04,5.96,0.0,0.0,0.0,10.1,14.34,-0.17999999999999988
2017-03-05,10.52,2.84,86.0,0.0,13.1,13.459999999999999,-1.02
2017-03-06,4.779999999999999,0.42000000000000004,0.0,50.0,0.4,3.1399999999999997,-8.24
2017-03-07,3.1,0.0,0.0,0.0,2.3,9.32,-7.359999999999999
2017-03-08,2.2600000000000002,0.0,0.0,0.0,8.6,15.680000000000001,-1.1599999999999997
2017-03-09,2.2600000000000002,0.0,0.0,0.0,10.0,18.04,-0.6200000000000001
2017-03-10,2.5,0.0,0.0,0.0,11.9,18.220000000000002,1.8200000000000003
2017-03-11,2.2199999999999998,0.0,0.0,0.0,10.1,16.880000000000003,1.2599999999999998
2017-03-12,3.3200000000000003,0.0,0.0,0.0,10.9,17.0,1.04
