"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00003872","2017-01-01","2.7","1.0","0.0","30.0","5.2","10.0","3.3"
"USW00003872","2017-01-02","4.3","3.8","0.0","0.0","8.2","10.0","7.2"
"USW00003872","2017-01-03","4.8","13.7","0.0","0.0","8.6","12.2","6.7"
"USW00003872","2017-01-04","5.1","1.3","0.0","0.0","6.2","10.0","-5.5"
"USW00003872","2017-01-05","2.8","5.3","89.0","0.0","-4.3","-1.6","-6.0"
"USW00003872","2017-01-06","3.2","0.0","25.0","100.0","-6.8","-6.0","-9.9"
"USW00003872","2017-01-07","4.6","2.8","76.0","150.0","-11.7","-9.9","-14.3"
"USW00003872","2017-01-08","3.8","0.0","3.0","100.0","-13.8","-10.5","-17.7"
"USW00003872","2017-01-09","3.2","0.0","0.0","80.0","-9.6","0.0","-17.1"
"USW00003872","2017-01-10","5.1","0.3","0.0","50.0","-0.9","6.7","-3.8"
"USW00003872","2017-01-11","4.0","6.6","0.0","0.0","6.1","10.0","1.7"
"USW00003872","2017-01-12","5.7","2.3","0.0","0.0","12.5","16.7","9.4"
"USW00003872","2017-01-13","2.6","6.6","0.0","0.0","9.0","12.2","4.4"
"USW00003872","2017-01-14","3.4","8.4","0.0","0.0","7.6","11.7","6.1"
"USW00003872","2017-01-15","1.6","4.8","0.0","0.0","5.4","7.2","2.8"
"USW00003872","2017-01-16","2.3","0.8","0.0","0.0","9.5","15.6","6.7"
"USW00003872","2017-01-17","4.9","6.4","0.0","0.0","11.2","13.9","8.9"
"USW00003872","2017-01-18","3.8","0.0","0.0","0.0","8.0","12.8","3.3"
"USW00003872","2017-01-19","2.0","0.0","0.0","0.0","5.3","12.2","1.7"
"USW00003872","2017-01-20","3.7","5.1","0.0","0.0","10.9","16.7","7.8"
"USW00003872","2017-01-21","1.9","0.0","0.0","0.0","11.3","15.0","7.2"
"USW00003872","2017-01-22","4.9","0.3","0.0","0.0","10.4","12.2","8.9"
"USW00003872","2017-01-23","3.2","39.4","0.0","0.0","8.2","10.0","2.8"
"USW00003872","2017-01-24","4.5","2.5","0.0","0.0","3.2","4.4","1.1"
"USW00003872","2017-01-25","4.0","0.0","0.0","0.0","6.2","16.1","-0.5"
"USW00003872","2017-01-26","5.8","2.0","0.0","0.0","6.7","11.7","-1.0"
"USW00003872","2017-01-27","5.5","0.5","0.0","0.0","-2.7","-1.0","-4.3"
"USW00003872","2017-01-28","5.0","0.0","0.0","0.0","-2.1","3.9","-4.3"
"USW00003872","2017-01-29","3.5","4.8","102.0","0.0","-0.6","0.0","-4.9"
"USW00003872","2017-01-30","4.3","1.0","43.0","130.0","-4.8","-2.1","-7.1"
"USW00003872","2017-01-31","6.8","0.0","0.0","80.0","2.7","9.4","-2.7"
"USW00003872","2017-02-01","2.6","0.0","0.0","0.0","6.1","9.4","-0.5"
"USW00003872","2017-02-02","3.1","0.0","0.0","0.0","1.5","5.0","-3.2"
"USW00003872","2017-02-03","3.3","0.0","0.0","0.0","-3.6","-2.1","-8.2"
"USW00003872","2017-02-04","2.5","0.0","0.0","0.0","-5.9","3.3","-12.7"
"USW00003872","2017-02-05","3.6","0.0","0.0","0.0","1.8","8.3","-1.0"
"USW00003872","2017-02-06","3.1","0.8","0.0","0.0","6.3","17.2","-1.0"
"USW00003872","2017-02-07","6.8","0.5","0.0","0.0","14.4","20.0","10.6"
"USW00003872","2017-02-08","3.8","8.9","0.0","0.0","11.8","15.6","6.1"
"USW00003872","2017-02-09","6.7","1.0","13.0","0.0","0.5","6.1","-9.3"
"USW00003872","2017-02-10","3.4","0.0","0.0","30.0","-5.2","8.3","-10.5"
"USW00003872","2017-02-11","3.7","0.3","0.0","0.0","9.2","12.2","6.7"
"USW00003872","2017-02-12","6.4","0.8","0.0","0.0","13.9","20.0","4.4"
"USW00003872","2017-02-13","4.9","0.0","0.0","0.0","2.6","5.6","-3.8"
"USW00003872","2017-02-14","2.6","0.0","0.0","0.0","1.2","7.2","-4.3"
"USW00003872","2017-02-15","5.5","0.0","0.0","0.0","2.8","4.4","-1.6"
"USW00003872","2017-02-16","5.3","0.0","0.0","0.0","-1.2","3.9","-4.3"
"USW00003872","2017-02-17","3.7","0.0","0.0","0.0","5.1","16.1","-1.6"
"USW00003872","2017-02-18","2.0","0.0","0.0","0.0","9.7","13.3","4.4"
"USW00003872","2017-02-19","2.4","0.0","0.0","0.0","8.0","10.6","1.7"
"USW00003872","2017-02-20","2.2","0.0","0.0","0.0","7.9","20.0","-1.0"
"USW00003872","2017-02-21","4.4","0.0","0.0","0.0","13.4","17.8","9.4"
"USW00003872","2017-02-22","2.2","11.9","0.0","0.0","10.6","12.8","7.8"
"USW00003872","2017-02-23","1.7","0.0","0.0","0.0","12.2","17.8","7.8"
"USW00003872","2017-02-24","4.3","0.0","0.0","0.0","15.7","22.8","11.1"
"USW00003872","2017-02-25","6.0","8.4","0.0","0.0","11.7","15.0","-2.7"
"USW00003872","2017-02-26","4.2","0.0","0.0","0.0","-0.2","6.1","-4.3"
"USW00003872","2017-02-27","3.0","0.0","0.0","0.0","4.7","10.6","1.1"
"USW00003872","2017-02-28","4.0","9.7","0.0","0.0","9.4","15.6","6.7"
"USW00003872","2017-03-01","7.7","13.7","0.0","0.0","13.7","18.9","4.4"
"USW00003872","2017-03-02","6.6","0.0","0.0","0.0","4.1","6.1","0.0"
"USW00003872","2017-03-03","5.5","1.0","25.0","0.0","-1.0","0.6","-5.5"
"USW00003872","2017-03-04","1.9","0.0","0.0","0.0","-2.8","3.3","-8.2"
"USW00003872","2017-03-05","3.2","0.0","0.0","0.0","3.9","15.6","-3.2"
"USW00003872","2017-03-06","3.2","0.8","0.0","0.0","8.1","11.7","5.0"
