Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,1.675,0.15,0.0,0.0,9.575,1.9749999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,1.75,2.925,0.0,0.0,11.4,5.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,2.4,17.9,0.0,0.0,11.675,7.775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,4.925,0.2,0.0,0.0,10.825,-3.6500000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,2.275,1.775,41.0,0.0,-2.15,-5.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,2.425,0.075,18.0,50.0,-4.9,-10.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,3.275,0.0,0.0,30.0,-6.85,-11.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,3.825,0.0,0.0,30.0,-6.575,-13.675,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,1.875,0.0,0.0,30.0,-0.475,-14.475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,4.4,2.175,0.0,0.0,9.875,-2.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,3.475,9.9,0.0,0.0,15.15,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,5.025,8.95,0.0,0.0,20.125,8.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,3.175,0.575,0.0,0.0,10.275,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,1.25,9.15,0.0,0.0,3.075,-0.09999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,1.125,0.825,0.0,0.0,4.3,0.5750000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,0.7,0.45,0.0,0.0,9.85,0.725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,2.75,12.625,0.0,0.0,13.899999999999999,5.675000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18,2.825,0.65,0.0,0.0,11.25,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19,1.2750000000000001,0.0,0.0,0.0,9.3,1.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-20,1.9500000000000002,5.25,0.0,0.0,14.85,3.075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-21,1.15,0.2,0.0,0.0,15.675,5.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-22,2.05,1.275,0.0,0.0,13.9,7.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-23,3.9749999999999996,20.9,0.0,0.0,11.525,3.0749999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-24,3.525,0.95,0.0,0.0,6.825,2.775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-25,2.75,0.4,0.0,0.0,16.400000000000002,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-26,5.3,1.5,0.0,0.0,13.200000000000001,0.9750000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-27,4.949999999999999,0.325,0.0,0.0,1.675,-0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-28,4.6000000000000005,0.0,0.0,0.0,5.125,-0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-29,2.525,1.45,46.0,0.0,2.8,-2.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-30,3.325,1.4,0.0,50.0,0.6,-5.025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,4.466666666666667,0.0,0.0,0.0,8.5,-2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,3.0,1.0,0.0,0.0,7.35,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02,3.35,0.0,0.0,0.0,5.275,-2.6750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-03,3.25,0.0,0.0,0.0,-0.07500000000000007,-5.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-04,1.65,0.0,0.0,0.0,1.7999999999999998,-10.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-05,3.75,0.0,0.0,0.0,10.825,-3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-06,2.2,0.075,0.0,0.0,16.25,-1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-07,4.325,12.95,0.0,0.0,21.125,10.825,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-08,3.675,9.65,0.0,0.0,15.125,2.225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09,5.3,3.875,0.0,0.0,2.225,-7.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-10,2.85,0.0,0.0,0.0,6.525,-8.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-11,3.225,0.0,0.0,0.0,18.35,5.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-12,4.75,5.85,0.0,0.0,16.8,4.025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-13,4.125,0.0,0.0,0.0,7.65,-2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-14,2.625,0.0,0.0,0.0,10.4,-3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-15,4.525,0.075,0.0,0.0,7.075,-1.1749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-16,3.75,0.075,0.0,0.0,3.75,-3.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-17,1.8250000000000002,0.0,0.0,0.0,15.575000000000001,-3.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-18,3.25,0.95,0.0,0.0,19.575,4.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-19,2.975,0.45,0.0,0.0,14.55,7.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-20,1.475,0.0,0.0,0.0,18.75,3.9000000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-21,1.9,0.0,0.0,0.0,20.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-22,1.525,1.45,0.0,0.0,17.625,9.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-23,2.375,0.0,0.0,0.0,21.675,10.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-24,3.4,0.0,0.0,0.0,25.85,12.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-25,4.675,11.725,0.0,0.0,20.3,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26,3.375,0.0,0.0,0.0,7.1,-2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27,1.475,1.3499999999999999,0.0,0.0,9.575000000000001,-1.325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-28,2.0,17.675,0.0,0.0,15.950000000000001,2.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,5.5,19.7,0.0,0.0,19.575,7.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-02,5.8,0.125,0.0,0.0,8.174999999999999,0.32499999999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-03,4.025,0.525,0.0,0.0,2.9000000000000004,-4.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-04,2.15,0.0,0.0,0.0,4.3,-6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-05,1.675,0.0,0.0,0.0,13.024999999999999,-5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-06,2.425,2.05,0.0,0.0,12.9,4.475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-07,3.4250000000000003,11.075,0.0,0.0,15.85,8.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-08,5.525,0.625,0.0,0.0,15.825000000000001,4.825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-09,4.125,0.0,0.0,0.0,19.725,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-10,4.875,7.875,0.0,0.0,10.125,-2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
