Date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2017-01-01,3.84375,0.24375000000000002,2.2,46.0,-6.159999999999999,-1.9133333333333336,-15.426666666666668
2017-01-02,3.825,2.06875,61.75,82.0,-8.860000000000001,-7.4399999999999995,-17.64
2017-01-03,2.3125,0.35,3.6,82.0,-14.919999999999998,-11.257142857142856,-18.94
2017-01-04,3.16875,3.8249999999999997,105.5,90.0,-15.02,-10.778571428571428,-20.692857142857143
2017-01-05,2.4875,0.2125,12.25,157.5,-18.880000000000003,-16.12,-29.6875
2017-01-06,2.5375,0.0,0.0,118.0,-21.14,-13.3625,-29.51875
2017-01-07,3.05625,0.14375,0.0,108.0,-14.419999999999998,-8.3125,-24.05
2017-01-08,4.64375,0.75625,0.0,102.0,-5.6,-0.91875,-11.7125
2017-01-09,7.1,1.7312499999999997,2.0,86.0,1.8800000000000001,6.05625,-5.60625
2017-01-10,7.10625,0.53125,0.0,46.0,-0.5,1.9124999999999999,-9.2375
2017-01-11,4.7625,2.98125,2.0,40.0,-5.16,-2.7687500000000003,-13.762500000000001
2017-01-12,2.95,0.1,0.0,40.0,-9.3,-6.5062500000000005,-16.775
2017-01-13,1.8375,0.0,0.0,40.0,-9.2,-5.15,-17.54375
2017-01-14,1.98125,0.0,0.0,40.0,-6.88,-4.0687500000000005,-16.95625
2017-01-15,1.975,0.0,0.0,40.0,-7.859999999999999,-6.29375,-18.39375
2017-01-16,2.08125,0.0,0.0,40.0,-8.2,-6.2625,-19.28125
2017-01-17,2.45,0.0,0.0,40.0,-8.72,-2.85,-18.7875
2017-01-18,2.85,0.0,0.0,40.0,-4.58,0.925,-14.793750000000001
2017-01-19,3.475,0.2375,0.0,40.0,-2.2199999999999998,1.43125,-10.35
2017-01-20,2.875,0.26875,3.6,46.0,-1.1,-0.056249999999999994,-10.020000000000001
2017-01-21,2.2125,0.0,0.0,46.0,-5.08,-1.1933333333333331,-12.46
2017-01-22,3.63125,0.6375,0.0,46.0,-3.4599999999999995,-0.6,-10.126666666666667
2017-01-23,3.80625,2.7562499999999996,97.0,116.0,-2.7800000000000002,0.31875,-8.85625
