Date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Thunder,Hail,Dust,Tornado,Wind,Rain,Snow
2017-01-01,5.04,0.0,0.0,15.0,1.6800000000000004,-11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,4.5,2.6399999999999997,37.0,15.0,-5.26,-14.459999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,3.04,0.5599999999999999,9.0,40.0,-9.36,-16.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,3.9,6.1,134.5,50.0,-10.120000000000001,-20.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,3.54,0.5,23.0,140.0,-15.680000000000001,-30.120000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,4.64,0.0,0.0,130.0,-9.879999999999999,-28.660000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,4.340000000000001,0.0,0.0,105.0,-6.92,-19.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-08,6.74,0.06,0.0,90.0,1.9200000000000004,-8.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,8.58,0.6599999999999999,0.0,65.0,7.359999999999999,-3.3600000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,9.1,0.06,0.0,0.0,2.68,-7.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,5.779999999999999,2.5799999999999996,4.0,0.0,-0.5199999999999998,-11.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,4.14,0.0,0.0,0.0,-4.14,-13.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,2.9,0.0,0.0,0.0,-1.8399999999999999,-13.459999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,3.06,0.0,0.0,0.0,-1.16,-11.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,3.1,0.0,0.0,0.0,-2.94,-13.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,3.44,0.0,0.0,0.0,-2.72,-15.580000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,3.94,0.0,0.0,0.0,-0.5199999999999998,-16.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18,4.4399999999999995,0.0,0.0,0.0,2.1399999999999997,-11.780000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19,4.4799999999999995,0.0,0.0,0.0,3.8,-9.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-20,3.8200000000000003,0.4800000000000001,9.0,15.0,1.2799999999999998,-7.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-21,3.2600000000000002,0.0,0.0,15.0,0.7,-11.120000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-22,5.7,0.06,0.0,15.0,1.1599999999999997,-7.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-23,4.36,1.8199999999999998,62.0,50.0,2.58,-8.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-24,4.32,1.8800000000000001,59.5,115.0,-5.04,-12.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-25,4.5600000000000005,0.0,1.5,115.0,-6.9,-15.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-26,4.96,0.0,0.0,75.0,-6.7,-17.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-27,6.58,0.0,0.0,65.0,-4.36,-16.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-28,7.760000000000001,0.0,0.0,50.0,0.8200000000000001,-10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-29,6.9399999999999995,0.0,0.0,40.0,4.34,-5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-30,7.92,0.0,0.0,15.0,6.779999999999999,-2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,7.719999999999999,2.6,2.5,0.0,4.9,-5.4399999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,5.36,0.6,6.5,0.0,-2.82,-12.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-02,4.18,0.4800000000000001,17.5,0.0,-6.26,-18.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-03,4.38,0.0,0.0,15.0,0.3400000000000002,-19.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-04,7.94,0.0,0.0,0.0,6.56,-4.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-05,5.5,0.0,0.0,0.0,8.66,-4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-06,7.0,0.12,0.0,0.0,8.32,-2.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-07,7.38,2.9,51.0,15.0,3.8,-6.0200000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-08,8.1,0.42000000000000004,2.5,40.0,2.56,-6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09,8.14,0.0,0.0,15.0,13.8,-3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-10,7.42,0.26,0.0,0.0,15.440000000000001,3.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-11,5.46,0.36,0.0,0.0,5.5600000000000005,-6.340000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-12,3.4799999999999995,0.0,0.0,0.0,4.8,-10.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-13,3.72,0.0,0.0,0.0,5.220000000000001,-8.559999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-14,3.44,0.0,0.0,0.0,6.1,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-15,5.220000000000001,0.0,0.0,0.0,12.22,-5.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-16,5.76,0.0,0.0,0.0,13.680000000000001,-1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-17,5.04,0.0,0.0,0.0,11.9,-0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-18,5.38,0.0,0.0,0.0,12.02,0.15999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-19,5.24,0.45999999999999996,0.0,0.0,10.66,-1.3800000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-20,7.2,0.0,0.0,0.0,11.46,-2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-21,9.82,0.16,0.0,0.0,14.680000000000001,1.48,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-22,4.720000000000001,1.7799999999999998,5.5,0.0,5.0200000000000005,-2.3600000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-23,6.5200000000000005,6.3,198.5,115.0,-1.8,-9.120000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-24,3.6799999999999997,0.2,6.5,150.0,-5.68,-13.459999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-25,6.720000000000001,0.0,0.0,105.0,-4.6,-13.459999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26,6.119999999999999,0.0,0.0,90.0,-2.9,-13.459999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
